"","lfdn","c_0001","scenario","order","combi","link","value"
"1",28,1,"apples","FL","A","first",35
"2",56,1,"apples","FL","A","first",15
"3",61,1,"apples","FL","A","first",50
"4",133,1,"apples","FL","A","first",16
"5",148,1,"apples","FL","A","first",35
"6",195,1,"apples","FL","A","first",20
"7",197,1,"apples","FL","A","first",25
"8",262,1,"apples","FL","A","first",17
"9",276,1,"apples","FL","A","first",40
"10",323,1,"apples","FL","A","first",58
"11",355,1,"apples","FL","A","first",50
"12",390,1,"apples","FL","A","first",30
"13",452,1,"apples","FL","A","first",25
"14",494,1,"apples","FL","A","first",50
"15",28,1,"apples","FL","A","last",70
"16",56,1,"apples","FL","A","last",26
"17",61,1,"apples","FL","A","last",51
"18",133,1,"apples","FL","A","last",15
"19",148,1,"apples","FL","A","last",25
"20",195,1,"apples","FL","A","last",20
"21",197,1,"apples","FL","A","last",20
"22",262,1,"apples","FL","A","last",17
"23",276,1,"apples","FL","A","last",65
"24",323,1,"apples","FL","A","last",40
"25",355,1,"apples","FL","A","last",10
"26",390,1,"apples","FL","A","last",50
"27",452,1,"apples","FL","A","last",25
"28",494,1,"apples","FL","A","last",50
"29",9,2,"apples","LF","A","last",50
"30",45,2,"apples","LF","A","last",100
"31",75,2,"apples","LF","A","last",70
"32",128,2,"apples","LF","A","last",70
"33",154,2,"apples","LF","A","last",50
"34",177,2,"apples","LF","A","last",30
"35",221,2,"apples","LF","A","last",25
"36",257,2,"apples","LF","A","last",7
"37",264,2,"apples","LF","A","last",60
"38",313,2,"apples","LF","A","last",25
"39",361,2,"apples","LF","A","last",50
"40",384,2,"apples","LF","A","last",80
"41",418,2,"apples","LF","A","last",20
"42",439,2,"apples","LF","A","last",100
"43",9,2,"apples","LF","A","first",50
"44",45,2,"apples","LF","A","first",25
"45",75,2,"apples","LF","A","first",40
"46",128,2,"apples","LF","A","first",60
"47",154,2,"apples","LF","A","first",50
"48",177,2,"apples","LF","A","first",30
"49",221,2,"apples","LF","A","first",55
"50",257,2,"apples","LF","A","first",50
"51",264,2,"apples","LF","A","first",0
"52",313,2,"apples","LF","A","first",75
"53",361,2,"apples","LF","A","first",50
"54",384,2,"apples","LF","A","first",80
"55",418,2,"apples","LF","A","first",20
"56",439,2,"apples","LF","A","first",25
"57",26,3,"apples","FL","B","first",50
"58",50,3,"apples","FL","B","first",75
"59",94,3,"apples","FL","B","first",50
"60",118,3,"apples","FL","B","first",74
"61",142,3,"apples","FL","B","first",20
"62",176,3,"apples","FL","B","first",50
"63",200,3,"apples","FL","B","first",50
"64",258,3,"apples","FL","B","first",40
"65",277,3,"apples","FL","B","first",25
"66",327,3,"apples","FL","B","first",60
"67",369,3,"apples","FL","B","first",50
"68",393,3,"apples","FL","B","first",30
"69",402,3,"apples","FL","B","first",25
"70",441,3,"apples","FL","B","first",15
"71",492,3,"apples","FL","B","first",26
"72",26,3,"apples","FL","B","last",10
"73",50,3,"apples","FL","B","last",60
"74",94,3,"apples","FL","B","last",6
"75",118,3,"apples","FL","B","last",14
"76",142,3,"apples","FL","B","last",20
"77",176,3,"apples","FL","B","last",50
"78",200,3,"apples","FL","B","last",50
"79",258,3,"apples","FL","B","last",5
"80",277,3,"apples","FL","B","last",25
"81",327,3,"apples","FL","B","last",75
"82",369,3,"apples","FL","B","last",6
"83",393,3,"apples","FL","B","last",35
"84",402,3,"apples","FL","B","last",25
"85",441,3,"apples","FL","B","last",3
"86",492,3,"apples","FL","B","last",29
"87",33,4,"apples","LF","B","last",10
"88",63,4,"apples","LF","B","last",68
"89",71,4,"apples","LF","B","last",18
"90",72,4,"apples","LF","B","last",10
"91",156,4,"apples","LF","B","last",100
"92",208,4,"apples","LF","B","last",20
"93",227,4,"apples","LF","B","last",7
"94",302,4,"apples","LF","B","last",13
"95",331,4,"apples","LF","B","last",15
"96",341,4,"apples","LF","B","last",64
"97",397,4,"apples","LF","B","last",59
"98",432,4,"apples","LF","B","last",50
"99",451,4,"apples","LF","B","last",20
"100",33,4,"apples","LF","B","first",50
"101",63,4,"apples","LF","B","first",43
"102",71,4,"apples","LF","B","first",25
"103",72,4,"apples","LF","B","first",50
"104",156,4,"apples","LF","B","first",50
"105",208,4,"apples","LF","B","first",20
"106",227,4,"apples","LF","B","first",50
"107",302,4,"apples","LF","B","first",83
"108",331,4,"apples","LF","B","first",80
"109",341,4,"apples","LF","B","first",67
"110",397,4,"apples","LF","B","first",50
"111",432,4,"apples","LF","B","first",50
"112",451,4,"apples","LF","B","first",20
"113",49,5,"apples","FL","C","first",50
"114",101,5,"apples","FL","C","first",80
"115",120,5,"apples","FL","C","first",20
"116",174,5,"apples","FL","C","first",50
"117",201,5,"apples","FL","C","first",25
"118",249,5,"apples","FL","C","first",40
"119",281,5,"apples","FL","C","first",50
"120",342,5,"apples","FL","C","first",75
"121",389,5,"apples","FL","C","first",30
"122",411,5,"apples","FL","C","first",20
"123",49,5,"apples","FL","C","last",75
"124",101,5,"apples","FL","C","last",80
"125",120,5,"apples","FL","C","last",20
"126",174,5,"apples","FL","C","last",20
"127",201,5,"apples","FL","C","last",25
"128",249,5,"apples","FL","C","last",25
"129",281,5,"apples","FL","C","last",50
"130",342,5,"apples","FL","C","last",65
"131",389,5,"apples","FL","C","last",4
"132",411,5,"apples","FL","C","last",20
"133",16,6,"apples","LF","C","last",20
"134",64,6,"apples","LF","C","last",15
"135",80,6,"apples","LF","C","last",50
"136",125,6,"apples","LF","C","last",50
"137",152,6,"apples","LF","C","last",45
"138",199,6,"apples","LF","C","last",50
"139",251,6,"apples","LF","C","last",10
"140",300,6,"apples","LF","C","last",50
"141",335,6,"apples","LF","C","last",23
"142",343,6,"apples","LF","C","last",50
"143",357,6,"apples","LF","C","last",50
"144",413,6,"apples","LF","C","last",55
"145",453,6,"apples","LF","C","last",33
"146",483,6,"apples","LF","C","last",35
"147",16,6,"apples","LF","C","first",70
"148",64,6,"apples","LF","C","first",15
"149",80,6,"apples","LF","C","first",75
"150",125,6,"apples","LF","C","first",50
"151",152,6,"apples","LF","C","first",65
"152",199,6,"apples","LF","C","first",50
"153",251,6,"apples","LF","C","first",20
"154",300,6,"apples","LF","C","first",50
"155",335,6,"apples","LF","C","first",70
"156",343,6,"apples","LF","C","first",50
"157",357,6,"apples","LF","C","first",50
"158",413,6,"apples","LF","C","first",51
"159",453,6,"apples","LF","C","first",33
"160",483,6,"apples","LF","C","first",35
"161",30,7,"apples","FL","D","first",50
"162",47,7,"apples","FL","D","first",25
"163",79,7,"apples","FL","D","first",79
"164",97,7,"apples","FL","D","first",69
"165",138,7,"apples","FL","D","first",50
"166",172,7,"apples","FL","D","first",10
"167",216,7,"apples","FL","D","first",50
"168",235,7,"apples","FL","D","first",48
"169",309,7,"apples","FL","D","first",15
"170",334,7,"apples","FL","D","first",34
"171",339,7,"apples","FL","D","first",25
"172",367,7,"apples","FL","D","first",40
"173",419,7,"apples","FL","D","first",50
"174",440,7,"apples","FL","D","first",50
"175",30,7,"apples","FL","D","last",20
"176",47,7,"apples","FL","D","last",30
"177",79,7,"apples","FL","D","last",60
"178",97,7,"apples","FL","D","last",63
"179",138,7,"apples","FL","D","last",50
"180",172,7,"apples","FL","D","last",1
"181",216,7,"apples","FL","D","last",75
"182",235,7,"apples","FL","D","last",53
"183",309,7,"apples","FL","D","last",20
"184",334,7,"apples","FL","D","last",33
"185",339,7,"apples","FL","D","last",25
"186",367,7,"apples","FL","D","last",30
"187",419,7,"apples","FL","D","last",10
"188",440,7,"apples","FL","D","last",5
"189",31,8,"apples","LF","D","last",20
"190",60,8,"apples","LF","D","last",5
"191",68,8,"apples","LF","D","last",7
"192",117,8,"apples","LF","D","last",60
"193",157,8,"apples","LF","D","last",60
"194",192,8,"apples","LF","D","last",35
"195",247,8,"apples","LF","D","last",70
"196",285,8,"apples","LF","D","last",10
"197",322,8,"apples","LF","D","last",50
"198",374,8,"apples","LF","D","last",60
"199",378,8,"apples","LF","D","last",5
"200",414,8,"apples","LF","D","last",50
"201",445,8,"apples","LF","D","last",88
"202",461,8,"apples","LF","D","last",50
"203",31,8,"apples","LF","D","first",100
"204",60,8,"apples","LF","D","first",66
"205",68,8,"apples","LF","D","first",50
"206",117,8,"apples","LF","D","first",50
"207",157,8,"apples","LF","D","first",60
"208",192,8,"apples","LF","D","first",50
"209",247,8,"apples","LF","D","first",70
"210",285,8,"apples","LF","D","first",40
"211",322,8,"apples","LF","D","first",50
"212",374,8,"apples","LF","D","first",60
"213",378,8,"apples","LF","D","first",20
"214",414,8,"apples","LF","D","first",60
"215",445,8,"apples","LF","D","first",82
"216",461,8,"apples","LF","D","first",50
"217",22,9,"apples","FL","E","first",54
"218",52,9,"apples","FL","E","first",50
"219",95,9,"apples","FL","E","first",33
"220",108,9,"apples","FL","E","first",50
"221",161,9,"apples","FL","E","first",80
"222",175,9,"apples","FL","E","first",70
"223",185,9,"apples","FL","E","first",30
"224",263,9,"apples","FL","E","first",49
"225",289,9,"apples","FL","E","first",25
"226",301,9,"apples","FL","E","first",50
"227",364,9,"apples","FL","E","first",35
"228",392,9,"apples","FL","E","first",75
"229",433,9,"apples","FL","E","first",50
"230",438,9,"apples","FL","E","first",10
"231",22,9,"apples","FL","E","last",57
"232",52,9,"apples","FL","E","last",75
"233",95,9,"apples","FL","E","last",33
"234",108,9,"apples","FL","E","last",70
"235",161,9,"apples","FL","E","last",97
"236",175,9,"apples","FL","E","last",70
"237",185,9,"apples","FL","E","last",40
"238",263,9,"apples","FL","E","last",9
"239",289,9,"apples","FL","E","last",5
"240",301,9,"apples","FL","E","last",51
"241",364,9,"apples","FL","E","last",35
"242",392,9,"apples","FL","E","last",90
"243",433,9,"apples","FL","E","last",50
"244",438,9,"apples","FL","E","last",1
"245",53,10,"apples","LF","E","last",25
"246",107,10,"apples","LF","E","last",50
"247",115,10,"apples","LF","E","last",5
"248",131,10,"apples","LF","E","last",3
"249",184,10,"apples","LF","E","last",10
"250",212,10,"apples","LF","E","last",50
"251",241,10,"apples","LF","E","last",50
"252",286,10,"apples","LF","E","last",6
"253",310,10,"apples","LF","E","last",50
"254",366,10,"apples","LF","E","last",50
"255",386,10,"apples","LF","E","last",40
"256",415,10,"apples","LF","E","last",10
"257",467,10,"apples","LF","E","last",50
"258",470,10,"apples","LF","E","last",59
"259",53,10,"apples","LF","E","first",50
"260",107,10,"apples","LF","E","first",50
"261",115,10,"apples","LF","E","first",35
"262",131,10,"apples","LF","E","first",10
"263",184,10,"apples","LF","E","first",80
"264",212,10,"apples","LF","E","first",51
"265",241,10,"apples","LF","E","first",50
"266",286,10,"apples","LF","E","first",50
"267",310,10,"apples","LF","E","first",50
"268",366,10,"apples","LF","E","first",10
"269",386,10,"apples","LF","E","first",40
"270",415,10,"apples","LF","E","first",50
"271",467,10,"apples","LF","E","first",50
"272",470,10,"apples","LF","E","first",51
"273",8,11,"chemical","FL","A","first",38
"274",43,11,"chemical","FL","A","first",97
"275",86,11,"chemical","FL","A","first",50
"276",121,11,"chemical","FL","A","first",50
"277",132,11,"chemical","FL","A","first",53
"278",183,11,"chemical","FL","A","first",20
"279",224,11,"chemical","FL","A","first",40
"280",239,11,"chemical","FL","A","first",30
"281",268,11,"chemical","FL","A","first",95
"282",306,11,"chemical","FL","A","first",25
"283",371,11,"chemical","FL","A","first",25
"284",391,11,"chemical","FL","A","first",5
"285",435,11,"chemical","FL","A","first",45
"286",454,11,"chemical","FL","A","first",60
"287",462,11,"chemical","FL","A","first",35
"288",8,11,"chemical","FL","A","last",4
"289",43,11,"chemical","FL","A","last",40
"290",86,11,"chemical","FL","A","last",50
"291",121,11,"chemical","FL","A","last",50
"292",132,11,"chemical","FL","A","last",54
"293",183,11,"chemical","FL","A","last",8
"294",224,11,"chemical","FL","A","last",40
"295",239,11,"chemical","FL","A","last",10
"296",268,11,"chemical","FL","A","last",86
"297",306,11,"chemical","FL","A","last",70
"298",371,11,"chemical","FL","A","last",25
"299",391,11,"chemical","FL","A","last",1
"300",435,11,"chemical","FL","A","last",25
"301",454,11,"chemical","FL","A","last",56
"302",462,11,"chemical","FL","A","last",38
"303",38,12,"chemical","LF","A","last",3
"304",100,12,"chemical","LF","A","last",50
"305",150,12,"chemical","LF","A","last",28
"306",155,12,"chemical","LF","A","last",63
"307",240,12,"chemical","LF","A","last",10
"308",282,12,"chemical","LF","A","last",20
"309",304,12,"chemical","LF","A","last",50
"310",330,12,"chemical","LF","A","last",10
"311",379,12,"chemical","LF","A","last",57
"312",404,12,"chemical","LF","A","last",50
"313",450,12,"chemical","LF","A","last",80
"314",472,12,"chemical","LF","A","last",33
"315",38,12,"chemical","LF","A","first",50
"316",100,12,"chemical","LF","A","first",80
"317",150,12,"chemical","LF","A","first",50
"318",155,12,"chemical","LF","A","first",53
"319",240,12,"chemical","LF","A","first",70
"320",282,12,"chemical","LF","A","first",80
"321",304,12,"chemical","LF","A","first",50
"322",330,12,"chemical","LF","A","first",20
"323",379,12,"chemical","LF","A","first",87
"324",404,12,"chemical","LF","A","first",51
"325",450,12,"chemical","LF","A","first",90
"326",472,12,"chemical","LF","A","first",51
"327",14,13,"chemical","FL","B","first",50
"328",36,13,"chemical","FL","B","first",60
"329",78,13,"chemical","FL","B","first",50
"330",111,13,"chemical","FL","B","first",100
"331",149,13,"chemical","FL","B","first",50
"332",202,13,"chemical","FL","B","first",40
"333",226,13,"chemical","FL","B","first",25
"334",255,13,"chemical","FL","B","first",75
"335",307,13,"chemical","FL","B","first",100
"336",324,13,"chemical","FL","B","first",40
"337",365,13,"chemical","FL","B","first",60
"338",399,13,"chemical","FL","B","first",80
"339",444,13,"chemical","FL","B","first",50
"340",14,13,"chemical","FL","B","last",50
"341",36,13,"chemical","FL","B","last",60
"342",78,13,"chemical","FL","B","last",50
"343",111,13,"chemical","FL","B","last",80
"344",149,13,"chemical","FL","B","last",51
"345",202,13,"chemical","FL","B","last",30
"346",226,13,"chemical","FL","B","last",5
"347",255,13,"chemical","FL","B","last",15
"348",307,13,"chemical","FL","B","last",1
"349",324,13,"chemical","FL","B","last",50
"350",365,13,"chemical","FL","B","last",61
"351",399,13,"chemical","FL","B","last",50
"352",444,13,"chemical","FL","B","last",50
"353",7,14,"chemical","LF","B","last",10
"354",34,14,"chemical","LF","B","last",100
"355",87,14,"chemical","LF","B","last",30
"356",106,14,"chemical","LF","B","last",51
"357",163,14,"chemical","LF","B","last",80
"358",180,14,"chemical","LF","B","last",90
"359",211,14,"chemical","LF","B","last",10
"360",244,14,"chemical","LF","B","last",50
"361",246,14,"chemical","LF","B","last",50
"362",294,14,"chemical","LF","B","last",50
"363",305,14,"chemical","LF","B","last",50
"364",354,14,"chemical","LF","B","last",50
"365",401,14,"chemical","LF","B","last",50
"366",436,14,"chemical","LF","B","last",12
"367",7,14,"chemical","LF","B","first",30
"368",34,14,"chemical","LF","B","first",100
"369",87,14,"chemical","LF","B","first",25
"370",106,14,"chemical","LF","B","first",50
"371",163,14,"chemical","LF","B","first",30
"372",180,14,"chemical","LF","B","first",90
"373",211,14,"chemical","LF","B","first",40
"374",244,14,"chemical","LF","B","first",50
"375",246,14,"chemical","LF","B","first",50
"376",294,14,"chemical","LF","B","first",50
"377",305,14,"chemical","LF","B","first",50
"378",354,14,"chemical","LF","B","first",50
"379",401,14,"chemical","LF","B","first",50
