sID	Order	strength_1_4	strength_1_8	strength_2_4	strength_2_8	strength_3_4	strength_3_8	strength_4_4	strength_4_8	strength_5_8	strength_6_8	strength_7_8	strength_8_8	Desktop_Confirmation	Attention_Confirmation	Age	Sex	Technical_issues	Duration (sek)	sID_cond
2107	eight_four	25	19	74	39	77	41	26	85	88	54	41	19	1	1	56	2	I didn't find any problems.	556	1
2108	eight_four	48	49	48	49	48	49	48	49	49	49	49	49	1	1	27	2	-99	125	2
2111	eight_four	55	52	55	52	56	53	55	53	54	52	54	54	1	1	34	1	-99	112	3
2114	eight_four	100	100	100	100	100	100	100	100	100	100	100	100	1	1	29	1	No technical issues.	144	4
2115	eight_four	99	99	99	99	99	99	100	99	99	99	99	99	1	1	38	2	-99	128	5
2116	eight_four	82	88	70	68	56	58	43	58	54	46	43	47	1	1	20	1	-99	130	6
2118	eight_four	40	71	43	65	40	68	31	49	59	58	50	54	1	1	36	2	-99	439	7
2121	eight_four	55	33	67	33	58	45	65	78	73	63	34	25	1	1	18	2	No errors	283	8
2124	eight_four	49	50	49	50	49	51	49	52	53	49	52	51	1	1	30	1	Several spelling and grammar errors  Strongly  instead of  Strong  etc.	169	9
2125	eight_four	48	51	47	51	47	51	48	51	51	51	51	51	1	1	37	2	-99	166	10
2128	eight_four	99	100	89	76	87	75	89	75	75	75	75	75	1	1	23	1	-99	129	11
2130	eight_four	100	100	99	100	99	100	100	100	100	100	100	100	1	1	40	2	-99	161	12
2133	eight_four	97	97	98	98	98	98	96	98	98	98	99	99	1	1	31	1	-99	173	13
2134	eight_four	99	96	70	85	78	78	86	70	63	53	38	39	1	1	31	2	-99	92	14
2135	eight_four	47	48	47	48	47	48	46	48	47	48	48	48	1	1	20	1	-99	249	15
2136	eight_four	58	48	59	47	57	48	58	47	47	47	47	48	1	1	24	2	-99	164	16
2140	eight_four	64	73	56	75	72	80	82	84	87	95	96	98	1	1	29	1	-99	231	17
2141	eight_four	98	100	94	90	92	84	99	84	90	82	91	82	1	1	29	2	N/A	213	18
2142	eight_four	64	81	53	69	46	69	35	63	61	58	47	35	1	1	36	1	It was actually quite difficult to judge the strength of the causal links because there was no way of knowing how strong the links were. It was very abstract and could've been anything.	491	19
2144	eight_four	60	60	60	61	60	60	60	61	61	60	60	61	1	1	21	1	-99	195	20
2148	eight_four	64	91	65	56	64	57	30	63	57	53	25	55	1	1	39	2	-99	112	21
2151	eight_four	72	88	58	72	49	58	12	46	17	34	25	11	1	1	24	1	-99	138	22
2153	eight_four	69	27	71	40	69	63	38	59	46	51	50	64	1	1	35	2	-99	165	23
2154	eight_four	54	96	55	44	62	86	53	60	65	67	49	42	1	1	19	2	-99	155	24
2157	eight_four	36	11	35	32	35	5	30	5	5	31	10	16	1	1	29	1	-99	1504	25
2158	eight_four	60	58	51	61	48	53	62	48	47	55	55	52	1	1	23	2	none	116	26
2159	eight_four	78	65	78	65	77	65	77	65	65	65	65	65	1	1	43	2	-99	168	27
2164	eight_four	86	85	76	65	48	61	31	56	44	39	25	37	1	1	32	2	-99	92	28
2165	eight_four	72	76	72	76	72	76	72	76	76	76	76	76	1	1	45	1	-99	177	29
2171	eight_four	62	67	36	35	36	35	62	36	35	35	37	68	1	1	44	1	-99	122	30
2172	eight_four	51	52	50	49	52	52	51	52	49	49	50	52	1	1	38	2	-99	211	31
2173	eight_four	99	99	100	99	100	99	99	99	100	99	99	99	1	1	32	1	-99	144	32
2176	eight_four	37	47	46	46	46	43	59	48	54	63	66	61	1	1	24	2	-99	158	33
2177	eight_four	70	99	73	82	91	95	92	74	71	58	51	76	1	1	25	2	-99	304	34
2178	eight_four	49	50	49	50	49	52	49	50	48	51	47	52	1	1	35	1	-99	95	35
2179	eight_four	100	100	100	98	100	99	100	99	100	99	100	100	1	1	40	2	-99	181	36
