sID	Links	strength_1	strength_2	strength_3	strength_4	strength_5	strength_6	strength_7	strength_8	Desktop_Confirmation	Attention_Confirmation	Age	Sex	Technical_issues	Duration (sek)	sID_cond
1979	eight	100	100	100	99	99	100	99	99	1	1	33	2	-99	141	1
1980	eight	43	43	43	43	43	43	43	43	1	1	25	2	-99	119	2
1982	eight	49	49	49	49	48	49	48	49	1	1	18	2	none	77	3
1983	eight	60	61	60	60	60	60	60	60	1	1	39	1	-99	70	4
1984	eight	49	48	48	49	48	48	48	50	1	1	52	1	-99	205	5
1985	eight	100	99	99	100	100	100	100	100	1	1	19	1	-99	94	6
1986	eight	84	85	84	84	84	85	84	83	1	1	38	2	-99	142	7
1987	eight	50	51	50	49	49	51	49	49	1	1	27	2	-99	102	8
1988	eight	100	100	100	100	99	100	100	100	1	1	27	2	NONE	630	9
1989	eight	100	99	99	100	99	99	100	99	1	1	22	2	-99	89	10
1990	eight	41	43	58	42	41	43	43	41	1	1	24	2	-99	70	11
1992	eight	82	76	62	49	35	59	22	8	1	1	22	2	-99	58	12
1993	eight	43	77	70	71	66	72	71	76	1	1	40	2	-99	130	13
1995	eight	4	19	34	46	58	77	70	90	1	1	21	2	-99	114	14
1996	eight	96	67	61	53	41	43	35	28	1	1	22	1	-99	70	15
1997	eight	45	45	45	45	45	45	45	45	1	1	21	1	-99	138	16
1998	eight	92	87	83	82	65	60	54	44	1	1	40	2	-99	150	17
2000	eight	27	41	48	71	72	52	35	29	1	1	18	2	-99	107	18
2001	eight	22	39	78	90	99	63	64	39	1	1	23	2	-99	106	19
2002	eight	47	46	49	60	69	49	52	57	1	1	19	2	-99	253	20
2003	eight	50	50	50	50	50	50	50	49	1	1	23	2	-99	137	21
2004	eight	78	64	61	45	37	33	18	28	1	1	50	1	-99	87	22
2006	eight	48	48	48	48	47	48	48	49	1	1	23	1	No errors.	67	23
2007	eight	100	100	100	100	100	100	100	100	1	1	21	1	-99	135	24
2008	eight	72	61	66	69	65	68	64	62	1	1	21	1	-99	238	25
2009	eight	87	87	87	87	88	87	88	87	1	1	18	1	none	68	26
2010	eight	90	68	42	28	43	44	43	96	1	1	25	2	-99	181	27
2011	eight	99	92	73	56	50	35	23	5	1	1	23	1	-99	213	28
2012	eight	100	100	100	100	100	0	100	100	1	1	20	1	Everything was fine	105	29
2013	eight	98	86	83	70	47	31	13	3	1	1	25	2	-99	172	30
2014	eight	91	91	86	77	82	84	74	69	1	1	60	2	-99	123	31
