sID	learning_format	target_cause	target_effect	color	strength_rating	Age	Sex	Technical_Problems	Duration	Date
3	joint	multi	first	blue	4	58	2	would not let me copy and paste ID	238	25.01.2020 13:37
9	joint	multi	first	red	4	18	2	-99	106	25.01.2020 14:09
16	joint	multi	first	blue	4	40	2	None	198	25.01.2020 14:10
18	joint	multi	third	red	8	21	1	-99	60	25.01.2020 14:10
25	joint	multi	third	red	8	23	2	-99	33	26.01.2020 07:21
32	joint	multi	first	red	6	21	1	-99	68	26.01.2020 07:21
33	joint	multi	second	red	6	21	1	-99	63	26.01.2020 07:21
44	joint	multi	first	red	4	22	1	-99	105	26.01.2020 07:22
45	joint	multi	third	red	4	21	1	-99	117	26.01.2020 07:22
48	joint	multi	second	red	8	32	2	-99	89	26.01.2020 07:22
55	joint	multi	first	red	7	41	1	-99	125	26.01.2020 07:22
58	joint	multi	first	blue	9	36	2	-99	109	26.01.2020 07:22
59	joint	multi	first	blue	5	44	1	No issues	163	26.01.2020 07:22
62	joint	multi	second	blue	4	29	1	-99	91	26.01.2020 07:28
69	joint	multi	first	blue	6	31	1	-99	89	26.01.2020 07:28
72	joint	multi	third	red	4	41	2	none	82	26.01.2020 07:29
83	joint	multi	second	red	5	19	2	-99	96	26.01.2020 07:29
86	joint	multi	first	blue	9	40	1	no	49	26.01.2020 07:30
95	joint	multi	second	red	9	28	2	-99	97	26.01.2020 07:30
97	joint	multi	third	blue	2	54	1	-99	116	26.01.2020 07:30
102	joint	multi	second	red	8	35	2	-99	120	26.01.2020 07:31
103	joint	multi	first	red	11	53	2	no errors thanks :)	151	26.01.2020 07:31
105	joint	multi	third	red	7	47	1	-99	128	26.01.2020 07:32
110	joint	multi	third	blue	11	35	1	none	283	26.01.2020 07:33
114	joint	multi	first	red	11	40	2	-99	110	26.01.2020 07:56
116	joint	multi	third	blue	6	30	2	-99	125	26.01.2020 07:56
122	joint	multi	first	red	9	30	2	I didn't come across any errors of any kind	289	26.01.2020 07:56
125	joint	multi	first	blue	11	53	2	-99	152	26.01.2020 07:56
126	joint	multi	second	blue	6	33	2	-99	85	26.01.2020 07:57
134	joint	multi	second	blue	5	51	1	copy and paste not working	227	26.01.2020 07:57
136	joint	multi	first	blue	9	21	1	-99	57	26.01.2020 07:57
142	joint	multi	second	red	11	23	2	-99	235	26.01.2020 07:57
145	joint	multi	second	blue	6	59	2	-99	117	26.01.2020 07:58
153	joint	multi	second	blue	3	20	1	-99	77	26.01.2020 07:58
157	joint	multi	third	blue	9	68	2	-99	131	26.01.2020 07:58
167	joint	multi	first	blue	6	26	2	-99	133	26.01.2020 08:00
174	joint	multi	second	red	6	29	2	-99	67	26.01.2020 08:13
176	joint	multi	third	blue	5	45	1	none	191	26.01.2020 08:13
180	joint	multi	second	blue	4	31	1	-99	87	26.01.2020 08:14
189	joint	multi	third	red	4	35	2	-99	188	26.01.2020 08:14
191	joint	multi	third	blue	6	26	1	-99	81	26.01.2020 08:14
194	joint	multi	third	red	10	41	1	None any errors, there great positive	85	26.01.2020 08:14
206	joint	multi	third	blue	4	66	2	-99	210	26.01.2020 08:15
210	joint	multi	second	blue	10	24	1	-99	72	26.01.2020 08:15
213	joint	multi	third	red	6	50	1	-99	122	26.01.2020 08:15
214	joint	multi	first	red	7	25	2	-99	97	26.01.2020 08:15
216	joint	multi	third	blue	11	60	2	-99	303	26.01.2020 08:15
220	joint	multi	third	blue	11	27	1	-99	168	26.01.2020 08:16
225	joint	multi	first	blue	4	20	2	None.	158	26.01.2020 08:17
233	joint	multi	first	blue	6	38	2	-99	87	26.01.2020 08:52
241	joint	multi	second	red	10	44	2	-99	89	26.01.2020 08:54
244	joint	multi	third	red	10	40	2	-99	153	26.01.2020 14:08
249	joint	multi	first	blue	9	53	2	none	94	26.01.2020 14:08
251	joint	multi	first	blue	11	36	1	-99	70	26.01.2020 14:08
254	joint	multi	first	blue	9	52	1	-99	68	26.01.2020 14:09
261	joint	multi	second	blue	11	31	1	-99	23	26.01.2020 14:09
272	joint	multi	second	red	7	29	2	-99	64	26.01.2020 14:09
274	joint	multi	first	red	3	48	1	-99	77	26.01.2020 14:09
276	joint	multi	second	red	5	55	2	-99	386	26.01.2020 14:09
284	joint	multi	third	blue	1	32	2	-99	79	26.01.2020 14:09
285	joint	multi	second	red	3	52	1	-99	96	26.01.2020 14:09
296	joint	multi	third	red	11	22	2	-99	75	26.01.2020 14:10
298	joint	multi	first	blue	5	39	2	-99	119	26.01.2020 14:11
301	joint	multi	second	blue	11	37	1	nothing to report	130	26.01.2020 14:13
303	joint	multi	third	red	10	23	1	-99	68	26.01.2020 14:22
307	joint	multi	first	blue	5	46	2	none	87	26.01.2020 14:22
315	joint	multi	first	red	9	58	1	-99	88	26.01.2020 14:23
318	joint	multi	first	blue	6	30	2	-99	72	26.01.2020 14:23
324	joint	multi	third	blue	6	25	1	-99	24	26.01.2020 14:23
332	joint	multi	first	red	8	23	2	-99	99	26.01.2020 14:23
335	joint	multi	second	red	8	35	1	None	61	26.01.2020 14:23
337	joint	multi	second	red	9	54	1	No errors. Page works.	222	26.01.2020 14:24
341	joint	multi	second	blue	11	26	2	-99	79	26.01.2020 14:24
343	joint	multi	third	red	4	23	1	-99	335	26.01.2020 14:30
348	joint	multi	first	blue	11	30	1	-99	62	26.01.2020 14:38
357	joint	multi	first	red	5	24	2	-99	112	26.01.2020 14:39
359	joint	multi	first	blue	11	33	1	-99	154	26.01.2020 14:39
361	joint	multi	second	blue	9	22	2	-99	63	26.01.2020 14:39
363	joint	multi	third	blue	7	31	2	-99	129	26.01.2020 14:39
365	joint	multi	first	blue	7	51	1	-99	175	26.01.2020 14:39
369	joint	multi	second	red	6	38	2	-99	127	26.01.2020 14:39
370	joint	multi	third	red	11	23	1	-99	111	26.01.2020 14:39
377	joint	multi	second	blue	3	52	1	none	155	26.01.2020 14:40
378	joint	multi	third	red	6	25	2	Honestly the fact that the crystal in the graphic was more orange than red when the color was stated to be red was really distracting	146	26.01.2020 14:40
388	joint	multi	third	blue	11	25	2	None	337	26.01.2020 14:40
395	joint	multi	third	blue	4	29	1	-99	117	26.01.2020 14:41
400	joint	multi	first	blue	4	23	1	-99	186	26.01.2020 14:51
405	joint	multi	first	blue	6	20	1	-99	102	26.01.2020 14:51
407	joint	multi	first	blue	7	40	2	none	151	26.01.2020 14:51
413	joint	multi	first	blue	4	47	1	-99	113	26.01.2020 14:51
416	joint	multi	second	blue	6	51	1	none	251	26.01.2020 14:52
420	joint	multi	third	blue	6	46	1	-99	174	26.01.2020 14:52
422	joint	multi	third	red	8	31	4	-99	181	26.01.2020 14:52
428	joint	multi	first	blue	8	44	1	none	303	26.01.2020 14:52
429	joint	multi	first	red	4	31	1	-99	89	26.01.2020 14:52
438	joint	multi	third	blue	6	35	1	-99	109	26.01.2020 14:53
442	joint	multi	third	blue	3	57	2	-99	122	26.01.2020 15:03
446	joint	multi	third	blue	6	28	1	-99	40	26.01.2020 15:04
448	joint	multi	third	blue	11	54	2	none	166	26.01.2020 15:04
453	joint	multi	third	blue	4	55	1	-99	167	26.01.2020 15:04
459	joint	multi	second	blue	11	43	1	-99	184	26.01.2020 15:09
463	joint	multi	third	blue	5	29	2	-99	52	27.01.2020 09:30
469	joint	multi	first	red	4	30	2	N/a	89	27.01.2020 09:30
470	joint	multi	first	red	11	29	1	-99	81	27.01.2020 09:30
479	joint	multi	third	red	11	30	2	None	61	27.01.2020 09:31
480	joint	multi	second	red	9	19	2	-99	153	27.01.2020 09:31
483	joint	multi	first	blue	11	42	1	-99	140	27.01.2020 09:31
484	joint	multi	third	red	10	32	2	-99	114	27.01.2020 09:31
490	joint	multi	first	blue	7	45	2	-99	167	27.01.2020 09:31
491	joint	multi	second	red	6	22	2	-99	236	27.01.2020 09:31
502	joint	multi	first	blue	9	35	2	there was no issue. i did enjoy the survey	201	27.01.2020 09:35
503	joint	multi	third	red	3	38	2	-99	101	27.01.2020 09:36
504	joint	multi	second	red	6	26	1	no problems	97	27.01.2020 09:36
513	joint	multi	second	red	8	23	1	nope	42	27.01.2020 09:37
519	joint	multi	first	red	4	34	2	-99	48	27.01.2020 09:37
522	joint	multi	third	red	4	23	2	-99	129	27.01.2020 09:38
524	joint	multi	first	blue	3	41	1	-99	85	27.01.2020 10:00
526	joint	multi	third	red	5	61	1	-99	130	27.01.2020 10:00
536	joint	multi	second	red	9	44	2	-99	114	27.01.2020 10:00
538	joint	multi	second	red	7	45	2	-99	225	27.01.2020 10:01
540	joint	multi	second	blue	8	29	2	-99	121	27.01.2020 10:01
546	joint	multi	second	blue	4	37	1	-99	92	27.01.2020 10:01
548	joint	multi	second	red	11	30	1	-99	105	27.01.2020 10:01
551	joint	multi	first	red	9	28	2	-99	117	27.01.2020 10:01
564	joint	multi	second	blue	6	24	2	-99	55	27.01.2020 10:11
