sID	Side	Q_order	Target_effect	multiple	single	Desktop_Confirmation	Attention_Confirmation	Justification	Age	Sex	Technical_issues	Duration (sek)
95	multiple_left	multiple_first	first	29	100	1	1	C1 had the possibility of causing 3 possible outcomes, and E1 was just one of them. C2 has less alternate possibilities.	26	2	-99	136
111	multiple_left	multiple_first	first	64	66	1	1	Because it could be a specific function used. For expel C1 could start off as 3 outputs and C2 could mean 3 minus it’s 2 leaving 1 output	18	2	-99	337
116	multiple_left	multiple_first	first	26	97	1	1	As x1 had effects of three other thing where as c2 had effects only on E1	18	2	-99	98
134	multiple_left	multiple_first	first	45	97	1	1	C1 can lead to 3 outcomes,  and may only lead to one or two of them. C2 always causes outcomes E1	50	1	-99	96
141	multiple_left	multiple_first	first	50	39	1	1	C1 caused an effect to 3 different things which made me feel it was a big situation whereas C2 only cased an effect to one thing which made me feel it wasn't as big.	34	2	-99	285
173	multiple_left	multiple_first	first	46	95	1	1	C1 influenced 3 spheres and C2 influenced 1. I think that the direct interation is stronger.	46	1	no.	191
177	multiple_left	multiple_first	first	76	99	1	1	c1 has less effect as there are 3 effects  c2 only has one effect	46	2	-99	181
189	multiple_left	multiple_first	first	66	98	1	1	because C2 has only one  direct line linked	22	2	n/a	376
208	multiple_left	multiple_first	first	99	100	1	1	If it points toward an effect that means it did something to trigger the effect so it should be maximum	25	1	n/a	100
218	multiple_left	multiple_first	first	50	61	1	1	I can see that cause one effects more things that cause 2	34	2	-99	81
101	single_left	multiple_first	first	25	95	1	1	I gave a strongly effect rating for C1 and E1 because C1 only branches out to E1and nothing else. C2 branches out to three: E1, E2, and E3. I document that C2 will only affect E1 1/3 of the time.	18	2	Everything went well!	213
118	single_left	multiple_first	first	54	98	1	1	Not sure if direct effect, seen in a straight line middle to middle means it's a stronger effect, or the same as the ones coming off the  side  of the circle.	38	2	-99	155
130	single_left	multiple_first	first	42	100	1	1	C1 only has got E1, where as C2 has 3 to deal with meaning its not as strong as C1	41	1	-99	157
138	single_left	multiple_first	first	77	100	1	1	C1 very strongly on E1 because there is only one influencing factor . C2 fairly strongly on E1 as there are 2 other  influencing factors E2 and E3.	37	2	-99	483
154	single_left	multiple_first	first	74	100	1	1	since C1 is only affecting E1,the effect will be stronger than that of C2, since C2 is connected to 3 relations	31	1	-99	164
176	single_left	multiple_first	first	49	100	1	1	C1 has a direct effect on E1  C2 has an effect on E1, E2 and E3	41	1	-99	151
185	single_left	multiple_first	first	35	99	1	1	C1 only affected one outcome, and therefore was very strongly causally linked to E1; however C2 affected 3 outcomes and, by intuition I decided that C2 shared it's causal strength between equally E1, E2 and E3 resulting in a strength 1/3 of that of C1.	21	1	-99	274
188	single_left	multiple_first	first	47	100	1	1	C1 has less number of  subject to influence therefore will have more strengths and influence to effect.  C2 has 3 subject to influence therefore will have weak strength over to influence them.	37	1	n/a	546
207	single_left	multiple_first	first	50	100	1	1	The reason being C1 has a more direct influence on the factor than c2 does. C2 has an influence on a wide variety of factors.	34	2	There were no errors	202
211	single_left	multiple_first	first	33	100	1	1	C1 alone with E1 has a very strong effect because all of C1's strength is focused on E1 but with C2, its strength is shared among E1,2 and 3 so the effect is not so much as C1's influence.	30	1	No, the grammar was correct in its entirety.	484
89	multiple_left	single_first	first	56	69	1	1	For the first question, it has the extra support of the two by its side. For the second, it only has support from one side	22	2	-99	114
103	multiple_left	single_first	first	42	19	1	1	C2 ONLY AFFECTED E1 AND C1 AFFECTED E1 E2 AND E3 SO I CONCLUDED THAT C1 HAS THE STRONGER EFFECT	42	2	-99	220
119	multiple_left	single_first	first	75	99	1	1	Because there was no other choice but for C2 to lead to E1, it had a very high strength of influence.     Because C1 could have led to 2 other possibilities, there was a low strength of influence between C1 and E1.	21	2	-99	169
132	multiple_left	single_first	first	77	52	1	1	C2 was the strength to E2 and more so C1 is the matter strength to E1	36	1	-99	377
149	multiple_left	single_first	first	67	100	1	1	because c 2 can only influence one, c 1 still has a strong influence but is spread between others	42	2	-99	150
152	multiple_left	single_first	first	32	99	1	1	C2 had a direct link, whereas the link C1 had was shared between three other parties	47	1	-99	217
162	multiple_left	single_first	first	28	99	1	1	C2 had influence over 1 factor whereas C1 had over 3 factors. C2 could use all strength into one but C1 had to influence 3	48	2	I did not notice any	471
183	multiple_left	single_first	first	44	99	1	1	the second symbol only had 1 other option where as the first symbol had 3 options	27	2	no	75
194	multiple_left	single_first	first	69	100	1	1	For C2 as it only has one possible effect I would assume that the cause would always have a strong impact on the effect. However for C1 as there are 3 possible effects I felt like the impact was slightly weaker as it's split between 3.	29	2	n/a	478
209	multiple_left	single_first	first	28	55	1	1	C1 would give a weaker effect compared to C2 because it is less specific and is causally related to E1, E2, and E3.	19	2	-99	125
90	single_left	single_first	first	100	100	1	1	There was not enough information provided to acurately guage the strength.	39	1	-99	172
110	single_left	single_first	first	99	100	1	1	C1 causally influences one and C2 causally influences three.	26	2	-99	169
115	single_left	single_first	first	27	99	1	1	C1 can only have an impact on Effect 1, there were no other options  C2 could impact 3 different Effects	37	2	-99	117
127	single_left	single_first	first	32	98	1	1	The first scenario showed 1:1 and the second was 1:3. In my mind having one cause directly influence on an effect it feels it would have stronger influence, versus the cause influencing 3 separate things.	35	2	-99	307
139	single_left	single_first	first	100	100	1	1	The diagrams show a direct, one way cause, with no causes between them. Additionally, even though C2 causes other causes, that does not mean it does not cause each of the other causes just as strongly as C1 does.	60	1	-99	473
158	single_left	single_first	first	0	100	1	1	Because c2 influences 3 types. While c1 influences 1 type.	22	2	None	169
172	single_left	single_first	first	27	87	1	1	Because C1 is only effecting E1 and C2 is having an effect on more than one thing, I assumed that C1 must be having a stronger effect on E1 than C2 is.	22	2	-99	187
186	single_left	single_first	first	67	92	1	1	In the first diagram, all of C1's strength was focused on E1. In the second diagram, C2's strength was split in 3, which would mean E1 would only get a 3rd of C2's strength.	32	2	-99	291
187	single_left	single_first	first	100	100	1	1	Both  C  factors have the ability to influence the occurrence of E1. Have no data that would allow me to conclude that they influence it differently between them	40	1	all good	205
206	single_left	single_first	first	25	100	1	1	I would presume that if a cause produced only one effect, than that effect is caused directly and solely by the influencing cause. If C1 will always produce only E1, then that implies that this effect is happening regardless of other influences that might be around C1. However, if C2 can influence three different things, that implies that outside variables are a factor, and that therefore C2 + this other factor decides whether we reach E1, E2, or E3. Therefore, C2 is not as strong an influence as C1.	30	3	No errors	293
97	multiple_left	multiple_first	second	33	100	1	1	Its because using mathematical concepts, c1 branches out to three different e's. e1,e2,e3. I divided the scale by 3 to get that answer. c2 gives it all to e2 so that is why that was 100.	19	1	-99	130
