sID	Side	Q_order	Target_effect	multiple	single	Desktop_Confirmation	Attention_Confirmation	Justification	Age	Sex	Technical_issues	Duration (sek)
2	multiple_left	multiple_first	first	33	99	1	1	c1 would be 3 to 1 where as c2 was 1to1	29	2	-99	114
16	multiple_left	multiple_first	first	32	100	1	1	I assumed that because C1 reached three E bubbles, the strength would be weaker compared to C2 reaching E1. I put the slider about one third of the way for C1, since E1 is one third of the bubbles on that diagram.	21	2	None	289
32	multiple_left	multiple_first	first	100	96	1	1	They are both given the same equal amount of each other.	24	2	-99	72
43	multiple_left	multiple_first	first	22	74	1	1	C1 is connected to other 2 values  it influence is divided, but C2 is only connected to that one all its influence will go to it.	29	1	-99	504
54	multiple_left	multiple_first	first	50	100	1	1	For C1 there was three separate paths for the effect so on a percentage basis this would have been 33.3% for probability. The C2 model only had one effect path it could take so this would be a 100% which I would consider very strong.	21	1	NA	244
70	multiple_left	multiple_first	first	36	96	1	1	c1 influences 3 factors shared equally however c2 only influences 1 factor so i believe this would have a stronger influence.	37	2	-99	302
84	multiple_left	multiple_first	first	22	99	1	1	I gave the rating of around a third to the first example because of how there were three different circles that C1 pointed to, all equal in length away from the main bubble. I gave a closer to one hundred percent strength rating on the second example because, unlike the first, there was only one circle that had an arrow pointing to, which felt like that meant that the two circles equally affected one another.	30	1	I did not find any issues. I found it very easy to read and thought that the layout was set up well: no long, hard to keep apart blocks of text. I did not find any spelling errors, and I am the type to notice those.	354
6	single_left	multiple_first	first	49	49	1	1	It is described as a casual effect and even though the first only influences one, and the second influences three, it does not suggest that there is any different weighting between the causality arrows.	47	2	-99	172
23	single_left	multiple_first	first	25	100	1	1	C1 is going directly to E1 while the other is having to share between two additonal	25	2	I did not find anything that could have been considered an error.	104
35	single_left	multiple_first	first	68	100	1	1	Because both components are affecting this E1 directly	30	2	-99	162
42	single_left	multiple_first	first	54	99	1	1	From the diagram it can be simply seen that C1 has like a direct influence on E1 without having to share strength but in the case of C2 it can be seen that the focus isnt just on E1 but 2 others were included so the strength of influence on E1 was strong for C2.	37	1	I didn't observe any issues on my end.	503
58	single_left	multiple_first	first	48	46	1	1	i have no idea what that is	28	1	nothing :)	70
72	single_left	multiple_first	first	48	99	1	1	In first picture both are equal, in second picture its divided 3 ways	52	2	-99	115
86	single_left	multiple_first	first	49	65	1	1	I suppose I think that C1 effects it more as it is only effecting it alone while C2 effects multiple giving the effect more spread across rather than just a direct cause and affect.	18	1	-99	121
21	multiple_left	single_first	first	36	100	1	1	C2 impacts on only one outcome, whereas C1 impacts on three outcomes. I could have given the same answer on the slider for C1 and C2  but I decided in this instance to divide the outcomes equally between, C1, C2 & C3.	55	2	-99	417
29	multiple_left	single_first	first	32	100	1	1	C1 influences 3 factors, whereas C2 only influences one. I therefore assumed that C2 will have a more influencing factor on E1.	44	2	-99	148
39	multiple_left	single_first	first	32	99	1	1	C1 is having influence on 3 options in which the effects must be shared in a way equally or anyhow among the options while C2 is having just one option to influence so much effect will be on the only option.	33	2	Non that I noticed	405
49	multiple_left	single_first	first	100	76	1	1	My gut reaction to C1 is that it's a *big* event, something with widespread repercussions. It has three effects, and it may have a strong causal effect on all three because of the magnitude of the event.    C2 is more direct, but isn't necessarily stronger; its causal relationship might be relatively weak. Since I have no way of knowing, I gave it a relatively high but not absolutely perfect causal relationship, since that seemed  typical  of something expressed in this way. Totally unscientific, again a gut reaction.	36	1	-99	430
62	multiple_left	single_first	first	30	100	1	1	C2 only effected E1 and nothing else so gave it all.  C1 effected 3 things so gave it a third.	34	1	-99	172
