sID	Order	Process	Valence	Multiple_Effects	Target	multiple_strength_rating	single_strength_rating	Desktop_Confirmation	Attention_Confirmation	Effect_Valence	Age	Sex	Technical_issues	Duration (sek)
172	multiple_first	generative	negative	blue	first	16	16	1	1	correct	37	1	-99	228
259	multiple_first	generative	negative	blue	first	40	64	1	1	correct	28	1	-99	130
268	multiple_first	generative	negative	blue	first	30	99	1	1	correct	20	2	-99	190
355	multiple_first	generative	negative	blue	first	35	100	1	1	correct	44	1	-99	69
427	multiple_first	generative	negative	blue	first	82	84	1	1	correct	29	1	-99	191
428	multiple_first	generative	negative	blue	first	33	99	1	1	correct	24	2	N/A	122
485	multiple_first	generative	negative	blue	first	30	99	1	1	correct	35	1	-99	195
586	multiple_first	generative	negative	blue	first	30	100	1	1	correct	42	1	-99	223
636	multiple_first	generative	negative	blue	first	91	90	1	1	correct	25	1	-99	135
692	multiple_first	generative	negative	blue	first	46	64	1	1	correct	36	1	-99	54
187	single_first	generative	negative	blue	first	29	100	1	1	correct	24	2	-99	145
234	single_first	generative	negative	blue	first	48	48	1	1	correct	47	1	-99	307
284	single_first	generative	negative	blue	first	50	50	1	1	correct	43	1	No issues	146
331	single_first	generative	negative	blue	first	30	100	1	1	correct	26	1	none	158
395	single_first	generative	negative	blue	first	49	49	1	1	correct	25	2	-99	1234
424	single_first	generative	negative	blue	first	29	100	1	1	correct	42	1	-99	193
521	single_first	generative	negative	blue	first	33	62	1	1	correct	24	1	-99	82
533	single_first	generative	negative	blue	first	33	67	1	1	correct	39	2	-99	130
625	single_first	generative	negative	blue	first	36	100	1	1	correct	31	2	-99	125
676	single_first	generative	negative	blue	first	51	50	1	1	correct	65	1	-99	151
197	multiple_first	preventive	negative	blue	first	46	47	1	1	correct	64	2	-99	85
294	multiple_first	preventive	negative	blue	first	38	62	1	1	correct	46	1	-99	112
359	multiple_first	preventive	negative	blue	first	31	98	1	1	correct	24	2	none	208
400	multiple_first	preventive	negative	blue	first	49	96	1	1	correct	39	1	-99	136
431	multiple_first	preventive	negative	blue	first	88	99	1	1	correct	56	2	-99	111
478	multiple_first	preventive	negative	blue	first	28	76	1	1	correct	25	2	-99	207
556	multiple_first	preventive	negative	blue	first	99	24	1	1	correct	28	2	-99	244
591	multiple_first	preventive	negative	blue	first	47	48	1	1	correct	3	2	-99	85
629	multiple_first	preventive	negative	blue	first	82	44	1	1	correct	46	2	-99	121
680	multiple_first	preventive	negative	blue	first	31	78	1	1	correct	29	2	-99	178
177	single_first	preventive	negative	blue	first	52	100	1	1	correct	19	1	N/A	123
279	single_first	preventive	negative	blue	first	25	90	1	1	correct	37	2	-99	157
337	single_first	preventive	negative	blue	first	59	94	1	1	correct	41	1	None	423
466	single_first	preventive	negative	blue	first	27	52	1	1	correct	48	2	-99	224
520	single_first	preventive	negative	blue	first	48	68	1	1	correct	20	3	N/A	88
558	single_first	preventive	negative	blue	first	27	88	1	1	correct	23	1	-99	179
581	single_first	preventive	negative	blue	first	50	49	1	1	correct	34	2	N/A	315
740	single_first	preventive	negative	blue	first	47	47	1	1	correct	48	2	I am using Firefox on Ubuntu 18.04 and everything looked fine to me.	236
741	single_first	preventive	negative	blue	first	26	41	1	1	correct	32	1	-99	132
742	single_first	preventive	negative	blue	first	29	85	1	1	correct	22	1	-99	86
201	multiple_first	generative	positive	blue	first	45	45	1	1	correct	64	2	-99	160
251	multiple_first	generative	positive	blue	first	28	99	1	1	correct	25	1	No errors.	150
290	multiple_first	generative	positive	blue	first	78	56	1	1	correct	28	1	None	175
365	multiple_first	generative	positive	blue	first	96	93	1	1	correct	28	1	Nothing to report	115
379	multiple_first	generative	positive	blue	first	32	99	1	1	correct	52	2	-99	184
417	multiple_first	generative	positive	blue	first	89	94	1	1	correct	20	1	-99	791
439	multiple_first	generative	positive	blue	first	63	99	1	1	correct	61	2	-99	177
549	multiple_first	generative	positive	blue	first	27	100	1	1	correct	38	1	-99	109
596	multiple_first	generative	positive	blue	first	37	99	1	1	correct	40	2	-99	98
684	multiple_first	generative	positive	blue	first	52	53	1	1	correct	29	1	No errors	161
174	single_first	generative	positive	blue	first	92	4	1	1	correct	19	1	-99	101
212	single_first	generative	positive	blue	first	73	72	1	1	correct	19	1	-99	114
305	single_first	generative	positive	blue	first	30	82	1	1	correct	26	1	-99	124
364	single_first	generative	positive	blue	first	71	100	1	1	correct	27	1	-99	118
404	single_first	generative	positive	blue	first	85	93	1	1	correct	28	2	-99	130
450	single_first	generative	positive	blue	first	100	35	1	1	correct	27	1	-99	205
626	single_first	generative	positive	blue	first	50	73	1	1	correct	49	1	-99	193
734	single_first	generative	positive	blue	first	40	100	1	1	correct	19	2	-99	107
