sID	Capacity_Info	Crystal_Order	Q_Order	1_strength_rating	3_strength_rating	7_strength_rating	Desktop_Confirmation	Attention_Confirmation	Capacity_Check	Age	Sex	Technical_issues	Duration (sek)	Capacity_Check_rec
927	different	bry	1_3_7	52	42	25	1	1	1	25	1	-99	129	correct
1099	different	bry	1_3_7	89	48	19	1	1	1	53	2	-99	244	correct
1222	different	bry	1_3_7	68	54	43	1	1	1	18	2	-99	280	correct
1351	different	bry	1_3_7	100	56	13	1	1	1	26	1	-99	196	correct
814	none	bry	1_3_7	82	56	24	1	1	-77	36	2	-99	262	NA
950	none	bry	1_3_7	99	44	22	1	1	-77	23	2	Maybe the rating of how likely the aliens would have sonin could be in numbers, just help giving an estimate of how likely.	438	NA
1076	none	bry	1_3_7	100	61	29	1	1	-77	28	2	n/a	146	NA
1150	none	bry	1_3_7	63	46	40	1	1	-77	42	2	-99	141	NA
1035	same	bry	1_3_7	100	26	10	1	1	2	19	1	none	160	correct
1175	same	bry	1_3_7	91	64	51	1	1	2	38	2	-99	88	correct
1315	same	bry	1_3_7	49	48	47	1	1	2	26	2	-99	143	correct
1353	same	bry	1_3_7	100	25	9	1	1	2	20	1	None.	133	correct
831	different	byr	1_3_7	100	34	8	1	1	1	21	1	-99	214	correct
1018	different	byr	1_3_7	99	7	4	1	1	1	40	2	-99	115	correct
1058	different	byr	1_3_7	100	65	17	1	1	1	33	1	-99	291	correct
1135	different	byr	1_3_7	93	76	49	1	1	1	23	1	-99	199	correct
907	none	byr	1_3_7	53	42	26	1	1	-77	21	1	-99	124	NA
987	none	byr	1_3_7	95	54	28	1	1	-77	22	2	-99	104	NA
1055	none	byr	1_3_7	65	87	65	1	1	-77	33	2	none	63	NA
1345	none	byr	1_3_7	80	36	8	1	1	-77	36	1	-99	93	NA
830	same	byr	1_3_7	99	100	99	1	1	2	31	1	-99	153	correct
970	same	byr	1_3_7	100	67	32	1	1	2	21	2	none	149	correct
1156	same	byr	1_3_7	97	68	37	1	1	2	24	2	no comment	312	correct
1266	same	byr	1_3_7	100	78	49	1	1	2	19	1	-99	187	correct
1001	different	rby	1_3_7	99	78	50	1	1	1	35	2	-99	224	correct
1113	different	rby	1_3_7	100	100	99	1	1	1	23	2	-99	354	correct
1191	different	rby	1_3_7	99	53	20	1	1	1	61	2	None noticed.	259	correct
1248	different	rby	1_3_7	99	32	10	1	1	1	43	2	-99	399	correct
868	none	rby	1_3_7	43	43	56	1	1	-77	46	1	nothing	249	NA
929	none	rby	1_3_7	100	30	7	1	1	-77	29	1	no problems that I am aware of.	246	NA
1092	none	rby	1_3_7	90	90	91	1	1	-77	36	2	-99	155	NA
1162	none	rby	1_3_7	100	34	12	1	1	-77	34	2	-99	109	NA
945	same	rby	1_3_7	19	81	39	1	1	2	23	2	-99	342	correct
1128	same	rby	1_3_7	81	36	36	1	1	2	29	2	-99	113	correct
1138	same	rby	1_3_7	93	36	9	1	1	2	31	2	N/A	434	correct
1385	same	rby	1_3_7	98	37	10	1	1	2	68	1	-99	184	correct
1114	different	ryb	1_3_7	63	62	61	1	1	1	35	2	-99	359	correct
1219	different	ryb	1_3_7	72	46	14	1	1	1	24	2	-99	82	correct
1311	different	ryb	1_3_7	98	74	44	1	1	1	55	2	-99	131	correct
1312	different	ryb	1_3_7	97	93	84	1	1	1	59	2	-99	389	correct
878	none	ryb	1_3_7	50	50	50	1	1	-77	22	1	-99	253	NA
930	none	ryb	1_3_7	99	47	28	1	1	-77	25	2	-99	205	NA
1060	none	ryb	1_3_7	100	71	28	1	1	-77	37	1	-99	282	NA
1344	none	ryb	1_3_7	99	26	10	1	1	-77	75	1	none	162	NA
813	same	ryb	1_3_7	100	52	29	1	1	2	31	2	-99	270	correct
979	same	ryb	1_3_7	100	90	51	1	1	2	25	2	-99	340	correct
1038	same	ryb	1_3_7	81	88	94	1	1	2	29	1	-99	122	correct
1152	same	ryb	1_3_7	99	36	6	1	1	2	41	2	-99	267	correct
875	different	ybr	1_3_7	77	47	36	1	1	1	29	1	-99	108	correct
919	different	ybr	1_3_7	93	94	97	1	1	1	30	2	-99	404	correct
1214	different	ybr	1_3_7	90	43	11	1	1	1	18	1	-99	309	correct
1298	different	ybr	1_3_7	72	37	100	1	1	1	52	1	-99	153	correct
836	none	ybr	1_3_7	50	21	45	1	1	-77	19	2	-99	169	NA
974	none	ybr	1_3_7	100	54	2	1	1	-77	21	2	no	114	NA
1083	none	ybr	1_3_7	99	33	4	1	1	-77	24	2	-99	136	NA
1179	none	ybr	1_3_7	52	53	53	1	1	-77	35	2	-99	78	NA
969	same	ybr	1_3_7	100	35	21	1	1	2	57	2	-99	301	correct
1059	same	ybr	1_3_7	98	98	98	1	1	2	58	1	-99	303	correct
1117	same	ybr	1_3_7	100	26	8	1	1	2	21	1	-99	287	correct
1268	same	ybr	1_3_7	100	62	26	1	1	2	23	1	No errors for me	98	correct
812	different	yrb	1_3_7	16	63	77	1	1	1	38	2	The was no spelling errors , no technical issues , the layout is fine , I did not see any issues .	1826	correct
957	different	yrb	1_3_7	0	39	99	1	1	1	23	2	-99	199	correct
1084	different	yrb	1_3_7	100	62	24	1	1	1	33	2	-99	237	correct
1199	different	yrb	1_3_7	56	56	42	1	1	1	46	2	-99	144	correct
854	none	yrb	1_3_7	100	50	11	1	1	-77	19	1	-99	329	NA
934	none	yrb	1_3_7	100	77	50	1	1	-77	54	2	None	200	NA
1123	none	yrb	1_3_7	100	63	40	1	1	-77	39	2	No errors or problems.	197	NA
1154	none	yrb	1_3_7	49	49	49	1	1	-77	43	2	-99	160	NA
885	same	yrb	1_3_7	92	81	48	1	1	2	36	2	-99	119	correct
1074	same	yrb	1_3_7	99	61	33	1	1	2	50	2	none	508	correct
