Study 	sID	Justification
Main	95	C1 had the possibility of causing 3 possible outcomes, and E1 was just one of them. C2 has less alternate possibilities.
Main	111	Because it could be a specific function used. For expel C1 could start off as 3 outputs and C2 could mean 3 minus it’s 2 leaving 1 output
Main	116	As x1 had effects of three other thing where as c2 had effects only on E1
Main	134	C1 can lead to 3 outcomes,  and may only lead to one or two of them. C2 always causes outcomes E1
Main	141	C1 caused an effect to 3 different things which made me feel it was a big situation whereas C2 only cased an effect to one thing which made me feel it wasn't as big.
Main	173	C1 influenced 3 spheres and C2 influenced 1. I think that the direct interation is stronger.
Main	177	c1 has less effect as there are 3 effects  c2 only has one effect
Main	189	because C2 has only one  direct line linked
Main	208	If it points toward an effect that means it did something to trigger the effect so it should be maximum
Main	218	I can see that cause one effects more things that cause 2
Main	101	I gave a strongly effect rating for C1 and E1 because C1 only branches out to E1and nothing else. C2 branches out to three: E1, E2, and E3. I document that C2 will only affect E1 1/3 of the time.
Main	118	Not sure if direct effect, seen in a straight line middle to middle means it's a stronger effect, or the same as the ones coming off the  side  of the circle.
Main	130	C1 only has got E1, where as C2 has 3 to deal with meaning its not as strong as C1
Main	138	C1 very strongly on E1 because there is only one influencing factor . C2 fairly strongly on E1 as there are 2 other  influencing factors E2 and E3.
Main	154	since C1 is only affecting E1,the effect will be stronger than that of C2, since C2 is connected to 3 relations
Main	176	C1 has a direct effect on E1  C2 has an effect on E1, E2 and E3
Main	185	"C1 only affected one outcome, and therefore was very strongly causally linked to E1; however C2 affected 3 outcomes and, by intuition I decided that C2 shared it's causal strength between equally E1, E2 and E3 resulting in a strength 1/3 of that of C1."
Main	188	C1 has less number of  subject to influence therefore will have more strengths and influence to effect.  C2 has 3 subject to influence therefore will have weak strength over to influence them.
Main	207	The reason being C1 has a more direct influence on the factor than c2 does. C2 has an influence on a wide variety of factors.
Main	211	C1 alone with E1 has a very strong effect because all of C1's strength is focused on E1 but with C2, its strength is shared among E1,2 and 3 so the effect is not so much as C1's influence.
Main	89	For the first question, it has the extra support of the two by its side. For the second, it only has support from one side
Main	103	C2 ONLY AFFECTED E1 AND C1 AFFECTED E1 E2 AND E3 SO I CONCLUDED THAT C1 HAS THE STRONGER EFFECT
Main	119	Because there was no other choice but for C2 to lead to E1, it had a very high strength of influence.     Because C1 could have led to 2 other possibilities, there was a low strength of influence between C1 and E1.
Main	132	C2 was the strength to E2 and more so C1 is the matter strength to E1
Main	149	because c 2 can only influence one, c 1 still has a strong influence but is spread between others
Main	152	C2 had a direct link, whereas the link C1 had was shared between three other parties
Main	162	C2 had influence over 1 factor whereas C1 had over 3 factors. C2 could use all strength into one but C1 had to influence 3
Main	183	the second symbol only had 1 other option where as the first symbol had 3 options
Main	194	For C2 as it only has one possible effect I would assume that the cause would always have a strong impact on the effect. However for C1 as there are 3 possible effects I felt like the impact was slightly weaker as it's split between 3.
Main	209	C1 would give a weaker effect compared to C2 because it is less specific and is causally related to E1, E2, and E3.
Main	90	There was not enough information provided to acurately guage the strength.
Main	110	C1 causally influences one and C2 causally influences three.
Main	115	C1 can only have an impact on Effect 1, there were no other options  C2 could impact 3 different Effects
Main	127	The first scenario showed 1:1 and the second was 1:3. In my mind having one cause directly influence on an effect it feels it would have stronger influence, versus the cause influencing 3 separate things.
Main	139	The diagrams show a direct, one way cause, with no causes between them. Additionally, even though C2 causes other causes, that does not mean it does not cause each of the other causes just as strongly as C1 does.
Main	158	Because c2 influences 3 types. While c1 influences 1 type.
Main	172	Because C1 is only effecting E1 and C2 is having an effect on more than one thing, I assumed that C1 must be having a stronger effect on E1 than C2 is.
Main	186	In the first diagram, all of C1's strength was focused on E1. In the second diagram, C2's strength was split in 3, which would mean E1 would only get a 3rd of C2's strength.
Main	187	Both  C  factors have the ability to influence the occurrence of E1. Have no data that would allow me to conclude that they influence it differently between them
Main	206	I would presume that if a cause produced only one effect, than that effect is caused directly and solely by the influencing cause. If C1 will always produce only E1, then that implies that this effect is happening regardless of other influences that might be around C1. However, if C2 can influence three different things, that implies that outside variables are a factor, and that therefore C2 + this other factor decides whether we reach E1, E2, or E3. Therefore, C2 is not as strong an influence as C1.
Main	97	Its because using mathematical concepts, c1 branches out to three different e's. e1,e2,e3. I divided the scale by 3 to get that answer. c2 gives it all to e2 so that is why that was 100.
Main	102	C1 effected 3 elements whereas c2 only directly effected one. Therefore my answers were roughly a third for the first one to represent the 3 and 100% for c2 which only directly effected one
Main	117	I said C1 influences E2 moderately, because its effect was shared with two other effects as well. On the other hand, C2 only influenced E2, so it has a strong causal influence.
