sID	Q_order	Target_effect	multiple	single	Desktop_Confirmation	Attention_Confirmation	Justification	Age	Sex	Technical_issues	Duration (sek)
223	multiple_first	first	83	99	1	1	C1 has an influence on E1 as its dealing with not only it, but C2 has more of a concentrated influence on E1 because it has to deal with only E1.	29	1	NONE	670
234	multiple_first	first	94	29	1	1	The reason why I gave that rating was because cause1 has a very powerful effect compared to cause 2.	24	1	-99	237
241	multiple_first	first	49	49	1	1	Without other effects present, I don't think I would be able to determine which cause produced a stronger effect on the same aspect.	23	2	-99	214
247	multiple_first	first	50	51	1	1	I gave them equal ratings. Just because C1 influences more than just E1, it doesn't mean it's influences E1 any differently than C2	36	2	-99	190
251	multiple_first	first	100	100	1	1	I assume that cause is either present, or absent. To me it is binary and definable, as such there's either an absolute yes or absolute no.	30	1	-99	2142
258	multiple_first	first	84	15	1	1	for C1 to causally affect E1, E2 and E3, I feel likeit has a stranger influence than C2, which only has one effect. for there to be more than one makes me believe that C1 has a stranger influence, which is why I rated it higher on the scale.	27	2	-99	283
267	multiple_first	first	60	61	1	1	I felt that the ratings i gave were a safe scoring	28	2	I didn't notice any errors. I found it a bit confusing though. It seemed to run smoothly though	202
273	multiple_first	first	47	82	1	1	If C2 can only influence one effect, it is probably more significant to that effect, whereas C1 is maybe loosely effective to the 3 different effects	22	2	No errors	191
279	multiple_first	first	100	0	1	1	i said very strong for C1 to E1 because it was in the description that C1 had casual influence over E1, E2 and E3 while C2 only had casual influence over E1, not E2	36	1	-99	561
288	multiple_first	first	47	47	1	1	Even though C1 causes more effects than C2 does, I have no reason to believe that this makes C1 stronger or weaker than C2 as there is no context given to the scenario, which is why I put them at the same rating. I put the ratings in the middle of the scale as well because again, I have no reason to believe that the causes are strong or weak, so I chose the middle ground.	18	2	-99	486
303	multiple_first	first	43	43	1	1	I figured that if both C1 and C2 have causal effects on E1, then they would at the same amount. I don't think that because C1 affects more  E's  that it would lessen the influence.	19	2	-99	252
310	multiple_first	first	33	94	1	1	If C2 causes E1 directly it must have a significantly larger influence than C1, but C1 is still important across 3 different effects.	19	2	-99	116
317	multiple_first	first	48	69	1	1	Due to it only effecting one thing my intuition told me C2 would effect that one thing more. More than C1 where it feels like the effect would be spread more evenly.	18	2	-99	187
