subj_code	condition	desktop_conf	attent_conf	instr_tests	Cond_sum	Rating_CC	Rating_SE	explanation	age	gender	tech_issues
CUfjMoj7eL5W	2	1: I confirm	1: I will take it seriously	1	cont_radial_limited	3	7	I assumed that since the cause entity had a specific amount of energy and it was emitted all at once that the energy declines the further it radiates. Leaving low energy at the bottom right since it's far away from the causal entity.	29	1: male	NO issues.
RFnk8riAbyPE	5	1: I confirm	1: I will take it seriously	1	binary_radial	5	5	The effects should be equal in the two cases.	69	1: male	NA
3xW8o0BxgjpN	2	1: I confirm	1: I will take it seriously	2	cont_radial_limited	6	1	NA	30	2: female	N/a
qJ9GnC1AP2n4	3	1: I confirm	1: I will take it seriously	1	cont_channel_unlimited	4	6	B only had one e while a had four so that to me would mean that the e on b would have more energy 	29	2: female	NA
pyNWWAVZLdaN	1	1: I confirm	1: I will take it seriously	1	cont_radial_unlimited	4	8	I thought in Situation A that energy would be somewhat equally distributed to all four entities whereas the bottom right entity would be able to have more influence in the absence of the other 3 entities. 	19	2: female	NA
dPFqYPRJNAzN	4	1: I confirm	1: I will take it seriously	2	cont_channel_limited	5	7	I wasnt quite sure but I guessed as best as I could	28	2: female	None
hLOZ0nDveCl7	4	1: I confirm	1: I will take it seriously	1	cont_channel_limited	5	10	"because in study A the power been shard between 4.
In study B the power was only shared between 1"	59	2: female	NA
JzVxFnrKVKAC	1	1: I confirm	1: I will take it seriously	2	cont_radial_unlimited	3	9	In situation A, there were 4 E's so therefore it is more likely the energy will be spread across all 4 of them compared to situation B where there is just the 1 E where all the energy will be emitted around. 	20	2: female	none
2fDsmagufdiJ	5	1: I confirm	1: I will take it seriously	1	binary_radial	5	5	No indication for why the relationship and the states would differ between the two.	31	1: male	NA
H6kd0ugAZPHZ	3	1: I confirm	1: I will take it seriously	2	cont_channel_unlimited	9	9	As the cause has an infinite amount of energy then surely it makes no difference to the situation regarding how many entities it feeds 	59	1: male	NA
v1Z8TBe8jfb6	2	1: I confirm	1: I will take it seriously	1	cont_radial_limited	6	3	While radially the bottom-right effects were in the same position in the plane, in Situation A the cause had three other equally-weighted effects coming from different areas of the plane.	25	1: male	NA
i6osTHYv6jQJ	3	1: I confirm	1: I will take it seriously	1	cont_channel_unlimited	5	10	I thought that the effects of cause on all entities in senario a would be equal as the cause it distributing its energy between teh four entitys.As there is only one entity in teh secons senario i determined that the infulence would be very high as the cause was focusing all its effort on just one entity.	32	1: male	I found that there were no errors with this study.
3xnZYRVqd0Q3	5	1: I confirm	1: I will take it seriously	1	binary_radial	5	5	"As I don't know what effect, if any, the causal entity ""C"" creates, nor do I know how the entities ""E"" react to any effects (if they react at all), nor do I know the starting conditions, I can't make any sensible predictions about the system.  If, for example, I knew that ""C"" provided energy and whether and how ""E"" responds to energy, as well as its initial state, I could draw conclusions.  Even not knowing if the energy was sufficient to cause changes, I could make a guess.  But with this little information about the system it is impossible for me to even begin to figure out what can, did, or would happen.  So answering 50% was the only thing I could do that felt sensible at all."	44	1: male	NA
pvwO4awjKnj2	3	1: I confirm	1: I will take it seriously	1	cont_channel_unlimited	4	10	In the first situation, only one entity was present therefore all the energy would be directed to that entity from the cause C. In the second situation, all entities were present therefore the energy would be shared between entities.	19	1: male	no errors
yGi3Fb1qJk3o	4	1: I confirm	1: I will take it seriously	1	cont_channel_limited	5	10	In the first example the energy emitted by C is shared between all 4 entities, in the second example only one entity is using energy from C so I would assume more is available	46	2: female	NA
TtkE5mlnUm82	5	1: I confirm	1: I will take it seriously	2	binary_radial	5	5	It was never made clear if C was the only cause, there may be other causes (not called c), so like anything that can be on or off, and I really have insufficent evidence, I called it 50%	57	1: male	None
aqZReipIuTjz	1	1: I confirm	1: I will take it seriously	2	cont_radial_unlimited	8	9	As C  have unlimited energy send  influence, so  in A there 4 entities to take that radical influence from C.   In other, The C with unlimited energy send only one entity that is there. Possible it other way around merely on fact C itself have unlimited energy!	42	2: female	NA
m3crwIJHVXrg	1	1: I confirm	1: I will take it seriously	1	cont_radial_unlimited	10	10	It was stated that the cause influences with unlimited energy in all directions... so I think the presence of more effect entities would not lessen the strength of C	37	1: male	All good  thank you
3TAtC7T8YxGz	5	1: I confirm	1: I will take it seriously	1	binary_radial	5	4	I thought that Sit A with four effect entities would have less strength of influence as it shared with other entities but in Sit B the one effect entity would receive more strength but would have a 50% chance of being off or on.	64	2: female	NA
49D5ferIE8e1	3	1: I confirm	1: I will take it seriously	1	cont_channel_unlimited	6	6	I gauged the amount of influence based on the thickness/magnitude of the channel line.  Since both appeared to be of equal thickness I assumed they were equivalent.  And since the source, C, has infinite energy with which to influence it didn't seem reasonable to assume that a single influenced entity would receive more energy than if it was one of four.	42	1: male	NA
ZEUA3JkZaqdR	2	1: I confirm	1: I will take it seriously	2	cont_radial_limited	5	6	i took the view that in situation b cause c influence would be greater than situation a as the single entity would mop up any residual influence. whereas in situation a all entities would be competing fo the influence	66	1: male	NA
si14tv1xaRjq	4	1: I confirm	1: I will take it seriously	1	cont_channel_limited	8	5	Due to C requiring energy to be sent to all entities at once, the energy to each entity in situation A would be less than to only one specific entity.	42	2: female	NA
Sx7FYJv4jBC6	2	1: I confirm	1: I will take it seriously	2	cont_radial_limited	3	7	I felt that as there was only one entity receiving influence on the right it was likely to have more concentrated influence from the main part, C. Whereas on the left hand side of the screen there were four possibilities receiving the influence so it would be more distributed across the four and therefore lower. 	40	2: female	NA
e1Aj2yIl2w6p	5	1: I confirm	1: I will take it seriously	1	binary_radial	7	10	Situation b is 100% as it is a lone enitiy.	34	2: female	NA
OLiOfWUKFmrj	1	1: I confirm	1: I will take it seriously	1	cont_radial_unlimited	9	9	I think that the bottom right entity in the two different situations are influenced by the same straight of emissions since their is unlimited amount of energy cause C can transmit at every point in time.	34	1: male	NA
A3zTdrHCqlkD	2	1: I confirm	1: I will take it seriously	1	cont_radial_limited	5	6	I felt that if that entity was singularly present it had more ability to catch influence than the others, but when its 4 i get the sense of equality in that regard. There isn't too deep a thought as to why I chose what I did, it's just what my intuition told me	24	3: non-binary	NA
c3EJWLX0Pexl	3	1: I confirm	1: I will take it seriously	1	cont_channel_unlimited	3	8	I feel like the total energy would be split between the entities E.	51	2: female	NA
