subj_code	condition	desktop_conf	attent_conf	instr_tests	Cond_sum	Rating_CC	Rating_SE	explanation	age	gender	tech_issues
V1WdD2bKypj8	3	1: I confirm	1: I will take it seriously	1	cont_channel_ulimited	8	7	Because on one it was only concentrating on one entity but on the other it was channelling all 4, however it does have infinite energy but I wasn't sure if it would be more concentrated when it was only channelling 1.	61	2: female	NA
C2sgnMUttzQd	4	1: I confirm	1: I will take it seriously	1	cont_channel_limited	3	10	Situation a had 4 effect entitys to share energy with making it a probability that 25% of energy was being used by the bottom right entity. Because there was only one entity in situation b it would be fair to say it is using a considerable amount of the total energy of C	45	1: male	none
cH2ct38kCnlz	4	1: I confirm	1: I will take it seriously	1	cont_channel_limited	2	10	I know C only has a limit of energy. In A it had to be split 4 ways, but in B it was focused on only one E.	38	2: female	NA
ZaYnk0tDTHuJ	3	1: I confirm	1: I will take it seriously	1	cont_channel_ulimited	5	5	I felt that the amount of influence C had on the bottom right entity was the same in both entities. I felt that the line showing the influence from C to E would change if there was more or less influence.	52	2: female	none.
uGyexya8kkiq	5	1: I confirm	1: I will take it seriously	1	binary_raidal	7	9	In the left one as their are four entities present I thought that the cause might not have as great of an effect. Whereas in the right one, it was the only entity and as cause was on I thought it would have a greater chance of being on.	37	1: male	NA
wPQM6MSFQWYd	6	1: I confirm	1: I will take it seriously	1	binary_channel	5	10	In situation B, there is only one entity, so it must be on. In situation A there are four entities so I reasoned it will either be on or off.	42	1: male	NA
k2t8YLUWKh31	2	1: I confirm	1: I will take it seriously	1	cont_radial_limited	3	3	I gave the strength of influence on both bottom right entities the same rating despite the differing entity presenece in both situations. This was due to C emitting a radial influence, which makes me think that the presence of other entities wouldn't really affect the strength of the influence on the bottom right.	24	1: male	NA
UoPcGqM7n4OQ	5	1: I confirm	1: I will take it seriously	1	binary_raidal	8	4	My assumption is that if C is on, all of E will appear. If C is off, then less of E will appear. 	29	2: female	None
YOpJ6ImervYk	1	1: I confirm	1: I will take it seriously	1	cont_radial_unlimited	2	8	I gave this rating because in B I think there would be more strength as it does not need to even itself out to the others. Whereas in A it needs to give strength to 3 others.	27	2: female	NA
5jPkGxxI17V6	1	1: I confirm	1: I will take it seriously	1	cont_radial_unlimited	6	9	in situation A there were 3 entities present which C would emit energy to so the energy to the bottom entity would be less than if the other 3 were not present as the energy is being distributed radially to them all. Whereas in B there is only one entity so it can have all the energy being emitted 	20	2: female	n/a
8qOGGYvc7vWe	4	1: I confirm	1: I will take it seriously	2	cont_channel_limited	5	9	it makes the most sense that if there is only one entity it would be receiving more strength than if it was divided into four others. 	20	2: female	NA
H9GyCrNu5x7V	6	1: I confirm	1: I will take it seriously	2	binary_channel	5	3	NA	19	1: male	NA
AIsg5MT9tX3X	2	1: I confirm	1: I will take it seriously	1	cont_radial_limited	3	10	I gave the ratings in correspondence to how many entities were present.	23	2: female	NA
RS62h51sbByS	4	1: I confirm	1: I will take it seriously	2	cont_channel_limited	2	10	if only one entity is present that it the cause has a single influence is very high. Multiple entities would have varied influence on the cause and any one time	53	2: female	NA
cIkW58nOgW7M	3	1: I confirm	1: I will take it seriously	2	cont_channel_ulimited	7	8	i believe that with cause C having endless amounds of energy it can emit, regardless to there been one (E) or four (E) it would not differ in the amount of energy recieved.	34	2: female	NA
0pev5nvRb5y1	2	1: I confirm	1: I will take it seriously	1	cont_radial_limited	2	8	I assumed that entity C gave out the same amount of energy in both cases and entities E absorbed this energy. I assumed that if one of the entities E was absent, then the other entities E would absorb the energy it would have received.	48	2: female	NA
h6LB7j1T5qXR	1	1: I confirm	1: I will take it seriously	1	cont_radial_unlimited	3	9	"I think the energy exerted on the bottom right entity is lower in the first situation than the second situation. This is because although the cause has unlimited energy, its output would not be increased by the number of entities in its radius; so the output would be distributed between the number of entities within the radius of C. "	31	2: female	NA
reBH3n2PZvEn	3	1: I confirm	1: I will take it seriously	1	cont_channel_ulimited	10	10	My understanding is that the amount of influence exerted by the cause entity depends on the size of channel, and if the channels are of the same size, then the effect entities receive the same amount of influence, irrespective of whether all the effect entities are present or not.	20	2: female	NA
22J8GUJA5WvW	5	1: I confirm	1: I will take it seriously	3	binary_raidal	10	10	The effects are either on or off  In both scenarios the bottom right entity was on and therefore C would have an influence on it.	55	2: female	nothing
LyTElzAe47Z0	6	1: I confirm	1: I will take it seriously	2	binary_channel	10	10	As there is only an on or off there is only a yes no option - When the 1 E was showing, this was present and therefore on. When all Es were showing then all of them were on.	36	2: female	n/a
7FNhiFHTwVKx	2	1: I confirm	1: I will take it seriously	2	cont_radial_limited	4	10	Because there were more entities that would be affected by the cause C	61	1: male	NA
tLDlo4zoNpfA	2	1: I confirm	1: I will take it seriously	2	cont_radial_limited	5	8	Because A has four entities that the limited C exerts it's power on but B has only one which foucuse more on it.	27	2: female	Good study!
VkJOzlTTwvdr	5	1: I confirm	1: I will take it seriously	1	binary_raidal	9	9	I believe that the energy is the same whether there is one entity or four, so I believe that the change would be the same.	43	1: male	NA
wb3KdAfiOe6i	3	1: I confirm	1: I will take it seriously	1	cont_channel_ulimited	2	10	It is intuitive to think that if there is only one entity it would receive 100% of the energy while if there are four, each would receive 25%. I know there is an infinite amount of energy that cause C can give but that is just my intuition 	25	2: female	none
IJOZowDqtuKA	4	1: I confirm	1: I will take it seriously	1	cont_channel_limited	2	10	On section A, all entities are present meaning the influence is spread across the four entities. On section B, is only one entity active with all the energy generated directed to it.	24	2: female	NA
Rs3oLbqyUdZL	4	1: I confirm	1: I will take it seriously	4	cont_channel_limited	5	10	"since there was only one ""e"", the cause energy did not have to be divided up between 4 as with example on left"	55	2: female	NA
dONyjJCfpfXD	6	1: I confirm	1: I will take it seriously	1	binary_channel	5	5	For each situation the cause can be either on or off. In the 2 situations if the cause is on then the bottom right effect will be active, therefore in both cases there is a 50/50 chance of it being on.	44	1: male	none identified
gFZI4yWyYSmr	4	1: I confirm	1: I will take it seriously	1	cont_channel_limited	1	9	"I assumed that the E entity on the second diagram had a high energy strength because the C entity only has a limited amount of energy it can emit so the E entity would get all the energy. 

Whereas the first diagram had all 4 E entity's present so they would need to split all the energy emitted from C between the 4 of them so each would have a lower amount of energy versus having only 1 E entity. "	37	2: female	Can't remember which slide but one of the last ones had a grammar error I believe on the first sentence, there's a word missing. 
tLVUBPsT13w7	5	1: I confirm	1: I will take it seriously	2	binary_raidal	10	10	Sorry i misread the question. I should have put 25% for situation A as all 4 entities were present whereas situation B would be 100% as there is only 1 entity	38	2: female	NA
W4prFgJnKH3k	1	1: I confirm	1: I will take it seriously	2	cont_radial_unlimited	10	10	they both contained an entity in the area chosen	20	2: female	NA
onVxfIa2AZdh	6	1: I confirm	1: I will take it seriously	1	binary_channel	5	5	I figured that there was a 50 percent chance it was off and 50 percent chance it was on	44	2: female	N/A
UYQFQouGxmb6	3	1: I confirm	1: I will take it seriously	1	cont_channel_ulimited	5	10	"In situation A, I chose to rate it as neutral because all four effect entities were active. 

In situation B, I chose to rate it as very high because it was the only effect entity that was active."	24	1: male	No errors
WJqzqmbLEIIX	5	1: I confirm	1: I will take it seriously	2	binary_raidal	5	5	I just gave a 50/50 rating because I felt like I didn't have enough information to know if it was off or on in either scenario	31	2: female	NA
Zuycdp8KAGIY	1	1: I confirm	1: I will take it seriously	1	cont_radial_unlimited	8	7	I may be wrong but I feel that with more energy from the more Es, there's generally more energy going around and faster, and therefore the one with more Es would have a higher intensity.	22	1: male	NA
