sID	first_absent_strength	first_present_strength	fourth_absent_strength	fourth_present_strength	second_absent_strength	second_present_strength	third_absent_strength	third_present_strength	Desktop_Confirmation	Attention_Confirmation	Age	Sex	Technical_issues	Duration (sek)	sID_cond
2413	0	100	0	100	0	100	0	100	1	1	55	2	-99	558	1
2414	0	25	0	25	0	25	0	25	1	1	65	1	its OK - just a bit puzzled that there were two different grey colours!  I assumed two greys - eight segments in total.	473	1
2415	0	80	0	80	1	80	0	80	1	1	46	2	-99	214	1
2416	0	75	0	75	0	75	0	75	1	1	25	2	-99	256	1
2417	0	75	0	75	0	75	0	75	1	1	30	2	-99	456	1
2418	0	75	0	75	0	75	0	75	1	1	23	2	-99	196	1
2419	0	75	75	75	0	75	0	75	1	1	34	2	-99	555	1
2421	0	80	0	80	0	80	0	80	1	1	20	1	-99	323	1
2422	0	75	0	75	0	75	0	75	1	1	33	2	-99	248	1
2423	19	31	17	46	37	37	22	2	1	1	41	2	-99	123	1
2424	0	87	0	87	0	87	0	87	1	1	22	2	-99	199	1
2425	0	25	0	25	0	25	0	25	1	1	25	1	-99	414	1
2426	0	75	0	75	0	75	0	75	1	1	32	2	-99	304	1
2428	0	100	0	100	0	0	1	100	1	1	44	2	-99	447	1
2429	59	42	50	41	39	52	20	43	1	1	34	2	-99	582	1
2430	0	75	0	75	0	75	0	75	1	1	18	2	-99	249	1
2431	0	75	0	75	0	75	0	75	1	1	70	1	-99	722	1
2432	94	35	26	8	69	90	48	98	1	1	50	2	-99	553	1
2433	0	75	0	75	0	75	0	75	1	1	37	1	-99	241	1
2434	2	100	2	100	2	100	2	100	1	1	35	2	No errors	541	1
2435	NA	75	15	27	27	61	25	51	1	1	36	2	-99	213	1
2436	0	75	0	75	0	75	0	75	1	1	22	2	-99	97	1
2437	57	26	33	36	35	44	39	61	1	1	41	1	-99	108	1
2438	0	100	0	99	0	99	0	99	1	1	41	2	No where to enter profliic Id 611b586707058aa853d7776d	161	1
2439	0	100	0	2	0	100	0	100	1	1	19	2	-99	366	1
2440	0	75	0	75	0	75	0	75	1	1	23	2	-99	313	1
2441	0	75	0	75	0	75	0	75	1	1	27	2	-99	143	1
2442	1	99	1	100	1	100	1	100	1	1	39	2	I didn't face any issue with the study	592	1
2443	0	56	0	6	0	36	0	0	1	1	25	1	-99	149	1
2444	0	75	0	75	0	75	0	75	1	1	30	1	-99	233	1
