sID	Condition	Cause_order	Query_order	multiple_strength_rating	no_conn_strength_rating	single_strength_rating	Desktop_Confirmation	Attention_Confirmation	Age	Sex	Technical_issues	Duration (sek)	sID_cond
420	36	0_1_3	0_1_3	100	0	100	1	1	30	2	-99	79	1
458	36	0_1_3	0_1_3	97	0	98	1	1	29	2	-99	200	2
503	36	0_1_3	0_1_3	100	0	100	1	1	20	1	None!	92	3
541	36	0_1_3	0_1_3	100	0	100	1	1	27	1	-99	118	4
567	36	0_1_3	0_1_3	97	2	98	1	1	51	2	none	156	5
606	36	0_1_3	0_1_3	100	0	99	1	1	27	2	-99	84	6
433	30	0_3_1	0_1_3	93	2	99	1	1	26	2	-99	97	1
454	30	0_3_1	0_1_3	100	0	100	1	1	19	1	None.	157	2
519	30	0_3_1	0_1_3	100	0	100	1	1	36	1	-99	91	3
554	30	0_3_1	0_1_3	99	0	99	1	1	65	2	-99	100	4
591	30	0_3_1	0_1_3	100	0	99	1	1	61	1	-99	147	5
654	30	0_3_1	0_1_3	99	0	99	1	1	37	2	-99	64	6
431	24	1_0_3	0_1_3	99	1	99	1	1	32	2	-99	88	1
480	24	1_0_3	0_1_3	100	0	99	1	1	28	2	-99	163	2
509	24	1_0_3	0_1_3	95	1	95	1	1	44	1	-99	138	3
529	24	1_0_3	0_1_3	100	0	100	1	1	31	2	-99	259	4
561	24	1_0_3	0_1_3	100	0	100	1	1	22	1	-99	87	5
639	24	1_0_3	0_1_3	100	1	99	1	1	34	2	-99	39	6
413	18	1_3_0	0_1_3	66	2	98	1	1	18	2	-99	119	1
462	18	1_3_0	0_1_3	99	1	99	1	1	26	2	-99	88	2
490	18	1_3_0	0_1_3	81	4	81	1	1	24	2	-99	127	3
528	18	1_3_0	0_1_3	56	55	56	1	1	18	1	-99	73	4
557	18	1_3_0	0_1_3	80	69	97	1	1	32	2	-99	251	5
645	18	1_3_0	0_1_3	100	0	100	1	1	45	2	-99	102	6
409	12	3_0_1	0_1_3	100	0	100	1	1	29	2	-99	177	1
460	12	3_0_1	0_1_3	100	0	100	1	1	26	1	Nil	80	2
505	12	3_0_1	0_1_3	92	4	92	1	1	54	2	-99	59	3
549	12	3_0_1	0_1_3	100	0	100	1	1	53	2	-99	158	4
562	12	3_0_1	0_1_3	97	15	99	1	1	44	1	-99	205	5
651	12	3_0_1	0_1_3	47	48	60	1	1	43	2	-99	50	6
450	6	3_1_0	0_1_3	100	0	100	1	1	31	2	-99	125	1
473	6	3_1_0	0_1_3	100	1	99	1	1	28	1	no errors	126	2
484	6	3_1_0	0_1_3	100	0	100	1	1	27	2	-99	142	3
525	6	3_1_0	0_1_3	99	2	99	1	1	68	2	-99	136	4
594	6	3_1_0	0_1_3	32	1	100	1	1	19	2	-99	103	5
600	6	3_1_0	0_1_3	99	0	99	1	1	29	1	-99	73	6
435	35	0_1_3	0_3_1	99	0	45	1	1	20	1	-99	87	1
446	35	0_1_3	0_3_1	99	0	99	1	1	27	2	-99	246	2
506	35	0_1_3	0_3_1	99	1	100	1	1	36	2	No problems encountered.	146	3
539	35	0_1_3	0_3_1	99	2	99	1	1	59	2	-99	183	4
568	35	0_1_3	0_3_1	99	1	100	1	1	37	2	-99	78	5
641	35	0_1_3	0_3_1	100	0	100	1	1	36	1	-99	178	6
428	29	0_3_1	0_3_1	99	0	99	1	1	56	2	-99	161	1
441	29	0_3_1	0_3_1	100	0	100	1	1	24	1	-99	60	2
504	29	0_3_1	0_3_1	99	0	99	1	1	54	2	-99	153	3
545	29	0_3_1	0_3_1	100	0	100	1	1	25	2	-99	167	4
571	29	0_3_1	0_3_1	99	1	23	1	1	20	3	-99	105	5
604	29	0_3_1	0_3_1	100	100	100	1	1	48	2	-99	158	6
427	23	1_0_3	0_3_1	99	1	100	1	1	49	2	-99	116	1
467	23	1_0_3	0_3_1	100	1	100	1	1	45	1	N/A	130	2
498	23	1_0_3	0_3_1	100	0	100	1	1	42	2	I don't think I ran into any errors.	182	3
540	23	1_0_3	0_3_1	100	1	99	1	1	56	1	-99	158	4
558	23	1_0_3	0_3_1	100	0	100	1	1	31	1	-99	161	5
602	23	1_0_3	0_3_1	99	0	99	1	1	31	2	-99	66	6
437	17	1_3_0	0_3_1	100	0	100	1	1	36	1	-99	97	1
469	17	1_3_0	0_3_1	79	0	99	1	1	20	2	-99	94	2
494	17	1_3_0	0_3_1	99	1	99	1	1	30	2	none	68	3
533	17	1_3_0	0_3_1	99	0	100	1	1	23	2	-99	118	4
590	17	1_3_0	0_3_1	99	0	100	1	1	31	1	-99	76	5
599	17	1_3_0	0_3_1	99	0	99	1	1	27	2	-99	436	6
466	11	3_0_1	0_3_1	100	0	100	1	1	19	2	-99	88	1
512	11	3_0_1	0_3_1	100	1	41	1	1	24	2	-99	261	2
553	11	3_0_1	0_3_1	87	1	93	1	1	44	2	none	103	3
584	11	3_0_1	0_3_1	99	1	100	1	1	35	1	-99	73	4
585	11	3_0_1	0_3_1	100	2	99	1	1	50	2	-99	164	5
586	11	3_0_1	0_3_1	99	0	100	1	1	22	2	-99	78	6
471	5	3_1_0	0_3_1	100	0	100	1	1	20	2	-99	199	1
495	5	3_1_0	0_3_1	100	0	100	1	1	23	2	-99	116	2
556	5	3_1_0	0_3_1	99	0	100	1	1	40	2	-99	163	3
575	5	3_1_0	0_3_1	99	0	100	1	1	26	2	-99	509	4
601	5	3_1_0	0_3_1	100	0	98	1	1	32	2	-99	88	5
663	5	3_1_0	0_3_1	88	1	88	1	1	49	1	-99	61	6
419	34	0_1_3	1_0_3	100	0	100	1	1	19	2	-99	77	1
456	34	0_1_3	1_0_3	99	0	99	1	1	20	2	-99	203	2
524	34	0_1_3	1_0_3	99	0	99	1	1	24	1	-99	88	3
576	34	0_1_3	1_0_3	99	0	99	1	1	27	2	-99	165	4
631	34	0_1_3	1_0_3	100	0	100	1	1	24	2	-99	226	5
665	34	0_1_3	1_0_3	100	1	99	1	1	27	2	-99	159	6
411	28	0_3_1	1_0_3	100	1	100	1	1	71	1	none	178	1
463	28	0_3_1	1_0_3	100	0	100	1	1	28	2	no errors	497	2
517	28	0_3_1	1_0_3	100	0	100	1	1	40	1	-99	117	3
555	28	0_3_1	1_0_3	99	1	1	1	1	57	2	-99	145	4
638	28	0_3_1	1_0_3	100	0	100	1	1	19	2	Thank you so much have a lovely day xxx	102	5
656	28	0_3_1	1_0_3	100	0	100	1	1	33	1	-99	99	6
417	22	1_0_3	1_0_3	99	1	100	1	1	30	2	-99	92	1
579	22	1_0_3	1_0_3	100	0	100	1	1	34	1	-99	99	2
580	22	1_0_3	1_0_3	100	0	99	1	1	50	2	-99	131	3
581	22	1_0_3	1_0_3	99	0	99	1	1	45	2	-99	73	4
582	22	1_0_3	1_0_3	99	0	100	1	1	20	1	-99	60	5
583	22	1_0_3	1_0_3	100	2	100	1	1	41	2	-99	105	6
426	16	1_3_0	1_0_3	0	100	99	1	1	29	1	-99	99	1
459	16	1_3_0	1_0_3	100	0	100	1	1	22	2	-99	178	2
483	16	1_3_0	1_0_3	100	0	100	1	1	21	1	-99	141	3
527	16	1_3_0	1_0_3	99	3	100	1	1	19	1	no errors	84	4
592	16	1_3_0	1_0_3	99	0	100	1	1	67	1	None	127	5
605	16	1_3_0	1_0_3	46	1	99	1	1	23	2	No errors to report	111	6
429	10	3_0_1	1_0_3	100	0	99	1	1	30	2	-99	161	1
478	10	3_0_1	1_0_3	100	0	100	1	1	31	1	-99	530	2
487	10	3_0_1	1_0_3	99	0	99	1	1	24	2	-99	91	3
530	10	3_0_1	1_0_3	96	2	89	1	1	30	2	-99	155	4
593	10	3_0_1	1_0_3	100	0	99	1	1	37	1	-99	100	5
609	10	3_0_1	1_0_3	99	0	99	1	1	25	2	-99	88	6
448	4	3_1_0	1_0_3	98	0	94	1	1	26	2	-99	68	1
470	4	3_1_0	1_0_3	100	0	100	1	1	27	2	No issues encountered	371	2
486	4	3_1_0	1_0_3	100	0	100	1	1	30	2	-99	71	3
521	4	3_1_0	1_0_3	0	99	0	1	1	41	2	-99	220	4
564	4	3_1_0	1_0_3	100	1	100	1	1	53	1	NO problems here	208	5
610	4	3_1_0	1_0_3	100	1	99	1	1	27	2	no errors	195	6
407	33	0_1_3	1_3_0	100	2	100	1	1	33	2	-99	126	1
475	33	0_1_3	1_3_0	95	3	99	1	1	48	2	-99	103	2
502	33	0_1_3	1_3_0	100	0	99	1	1	34	2	-99	162	3
537	33	0_1_3	1_3_0	100	0	100	1	1	40	1	-99	122	4
595	33	0_1_3	1_3_0	99	0	100	1	1	52	1	None	107	5
648	33	0_1_3	1_3_0	100	0	100	1	1	27	2	-99	626	6
423	27	0_3_1	1_3_0	100	0	100	1	1	26	2	I did not encounter any issues, the survey was straight forward.	241	1
451	27	0_3_1	1_3_0	99	1	100	1	1	35	2	-99	103	2
520	27	0_3_1	1_3_0	96	0	96	1	1	23	2	-99	134	3
542	27	0_3_1	1_3_0	99	0	100	1	1	22	2	-99	236	4
596	27	0_3_1	1_3_0	99	0	100	1	1	31	2	-99	212	5
635	27	0_3_1	1_3_0	99	1	99	1	1	23	2	-99	269	6
414	21	1_0_3	1_3_0	100	0	100	1	1	54	1	no errors observed by me.	299	1
491	21	1_0_3	1_3_0	100	0	99	1	1	40	2	-99	81	2
544	21	1_0_3	1_3_0	99	0	99	1	1	31	2	None noticed.	122	3
569	21	1_0_3	1_3_0	99	1	100	1	1	46	2	-99	68	4
612	21	1_0_3	1_3_0	57	1	96	1	1	19	2	-99	84	5
613	21	1_0_3	1_3_0	100	0	100	1	1	28	2	-99	96	6
421	15	1_3_0	1_3_0	99	0	100	1	1	27	2	-99	61	1
461	15	1_3_0	1_3_0	95	2	95	1	1	20	2	-99	112	2
493	15	1_3_0	1_3_0	99	1	100	1	1	18	2	-99	68	3
546	15	1_3_0	1_3_0	100	0	100	1	1	24	1	-99	215	4
563	15	1_3_0	1_3_0	100	0	100	1	1	21	2	-99	78	5
650	15	1_3_0	1_3_0	100	1	100	1	1	23	2	None	117	6
418	9	3_0_1	1_3_0	100	1	100	1	1	61	1	-99	145	1
482	9	3_0_1	1_3_0	100	0	100	1	1	19	2	n/a	81	2
507	9	3_0_1	1_3_0	100	0	100	1	1	28	1	No errors.	141	3
538	9	3_0_1	1_3_0	100	0	99	1	1	25	1	-99	134	4
560	9	3_0_1	1_3_0	100	3	100	1	1	61	2	none	147	5
643	9	3_0_1	1_3_0	28	0	99	1	1	21	2	-99	69	6
447	3	3_1_0	1_3_0	100	1	99	1	1	31	2	-99	112	1
452	3	3_1_0	1_3_0	100	0	100	1	1	20	2	-99	115	2
492	3	3_1_0	1_3_0	87	0	87	1	1	21	1	-99	76	3
552	3	3_1_0	1_3_0	100	0	100	1	1	23	2	-99	219	4
588	3	3_1_0	1_3_0	100	0	100	1	1	25	2	-99	109	5
644	3	3_1_0	1_3_0	100	1	100	1	1	19	2	-99	105	6
425	32	0_1_3	3_0_1	100	1	100	1	1	20	2	-99	79	1
465	32	0_1_3	3_0_1	100	0	100	1	1	26	2	-99	225	2
500	32	0_1_3	3_0_1	100	0	100	1	1	45	2	-99	90	3
550	32	0_1_3	3_0_1	99	0	99	1	1	56	1	-99	86	4
577	32	0_1_3	3_0_1	99	0	99	1	1	62	1	-99	74	5
664	32	0_1_3	3_0_1	100	2	99	1	1	23	2	none	127	6
415	26	0_3_1	3_0_1	45	0	99	1	1	27	2	-99	63	1
464	26	0_3_1	3_0_1	100	0	100	1	1	32	1	-99	65	2
516	26	0_3_1	3_0_1	99	0	99	1	1	24	2	-99	148	3
548	26	0_3_1	3_0_1	99	0	100	1	1	29	2	-99	83	4
574	26	0_3_1	3_0_1	99	1	99	1	1	28	2	N/A	112	5
652	26	0_3_1	3_0_1	1	0	100	1	1	29	2	-99	88	6
416	20	1_0_3	3_0_1	100	0	100	1	1	20	2	-99	54	1
481	20	1_0_3	3_0_1	72	6	96	1	1	36	2	-99	128	2
513	20	1_0_3	3_0_1	100	0	100	1	1	26	2	-99	78	3
532	20	1_0_3	3_0_1	99	0	100	1	1	20	2	-99	97	4
559	20	1_0_3	3_0_1	100	34	100	1	1	29	1	No errors	104	5
649	20	1_0_3	3_0_1	100	2	100	1	1	23	1	-99	61	6
406	14	1_3_0	3_0_1	67	0	100	1	1	23	2	-99	179	1
453	14	1_3_0	3_0_1	76	0	100	1	1	77	2	-99	186	2
489	14	1_3_0	3_0_1	99	0	100	1	1	26	2	-99	143	3
526	14	1_3_0	3_0_1	100	1	100	1	1	36	2	-99	201	4
597	14	1_3_0	3_0_1	100	1	99	1	1	52	2	-99	266	5
611	14	1_3_0	3_0_1	100	0	99	1	1	51	2	-99	832	6
408	8	3_0_1	3_0_1	99	0	99	1	1	18	2	-99	76	1
474	8	3_0_1	3_0_1	100	0	100	1	1	24	3	-99	68	2
514	8	3_0_1	3_0_1	100	0	100	1	1	68	1	-99	77	3
535	8	3_0_1	3_0_1	100	100	99	1	1	27	2	I didn't come across any errors, everything was straight forward.	275	4
598	8	3_0_1	3_0_1	100	0	100	1	1	33	2	-99	100	5
636	8	3_0_1	3_0_1	100	0	100	1	1	30	2	-99	77	6
434	2	3_1_0	3_0_1	98	2	98	1	1	23	2	-99	113	1
