sID	Condition	Cause_order	Query_order	multiple_strength_rating	no_conn_strength_rating	single_strength_rating	Desktop_Confirmation	Attention_Confirmation	Age	Sex	Technical_issues	Duration (sek)	sID_cond
73	36	0_1_3	0_1_3	99	1	100	1	1	25	2	-99	111	1
90	36	0_1_3	0_1_3	99	1	100	1	1	33	2	-99	309	2
91	36	0_1_3	0_1_3	78	0	78	1	1	29	1	-99	122	3
159	36	0_1_3	0_1_3	100	0	100	1	1	20	2	-99	190	4
210	36	0_1_3	0_1_3	51	0	49	1	1	21	1	-99	112	5
257	36	0_1_3	0_1_3	90	1	82	1	1	21	2	-99	122	6
72	30	0_3_1	0_1_3	100	3	100	1	1	62	2	-99	125	1
104	30	0_3_1	0_1_3	100	0	52	1	1	33	1	-99	111	2
148	30	0_3_1	0_1_3	83	0	82	1	1	31	2	-99	125	3
151	30	0_3_1	0_1_3	68	0	68	1	1	26	2	i was unsure whether it was asking me to estimate the chance of landing on yellow and then reading the diagram, or whether 'on' implied it would land on yellow	253	4
205	30	0_3_1	0_1_3	71	0	71	1	1	22	2	No errors encountered.	179	5
229	30	0_3_1	0_1_3	100	0	34	1	1	28	1	-99	98	6
40	24	1_0_3	0_1_3	72	1	73	1	1	38	2	-99	131	1
111	24	1_0_3	0_1_3	63	1	62	1	1	35	2	-99	98	2
122	24	1_0_3	0_1_3	75	0	75	1	1	44	2	-99	106	3
171	24	1_0_3	0_1_3	77	1	78	1	1	22	1	No errors	238	4
211	24	1_0_3	0_1_3	82	0	82	1	1	44	1	-99	111	5
255	24	1_0_3	0_1_3	34	0	100	1	1	30	2	No errors	146	6
67	18	1_3_0	0_1_3	92	4	94	1	1	41	2	-99	80	1
88	18	1_3_0	0_1_3	80	0	80	1	1	22	2	-99	118	2
142	18	1_3_0	0_1_3	33	0	100	1	1	46	2	-99	124	3
169	18	1_3_0	0_1_3	72	1	100	1	1	46	2	-99	140	4
220	18	1_3_0	0_1_3	100	0	100	1	1	52	1	-99	176	5
251	18	1_3_0	0_1_3	84	0	83	1	1	43	1	-99	97	6
119	12	3_0_1	0_1_3	70	0	69	1	1	18	1	-99	189	1
143	12	3_0_1	0_1_3	100	1	99	1	1	35	1	no errors	106	2
144	12	3_0_1	0_1_3	73	0	73	1	1	48	2	-99	236	3
177	12	3_0_1	0_1_3	26	0	26	1	1	47	1	-99	393	4
250	12	3_0_1	0_1_3	31	0	71	1	1	20	2	-99	56	5
267	12	3_0_1	0_1_3	100	0	99	1	1	22	2	no errors	140	6
49	6	3_1_0	0_1_3	74	0	73	1	1	22	1	-99	160	1
89	6	3_1_0	0_1_3	47	2	100	1	1	28	2	None	101	2
134	6	3_1_0	0_1_3	50	0	24	1	1	52	2	-99	111	3
196	6	3_1_0	0_1_3	75	0	75	1	1	20	2	-99	132	4
209	6	3_1_0	0_1_3	76	0	76	1	1	31	1	-99	209	5
252	6	3_1_0	0_1_3	79	0	79	1	1	31	1	n/a	86	6
43	35	0_1_3	0_3_1	100	1	99	1	1	26	2	-99	102	1
81	35	0_1_3	0_3_1	99	100	100	1	1	25	1	-99	238	2
161	35	0_1_3	0_3_1	27	0	72	1	1	28	2	-99	164	3
162	35	0_1_3	0_3_1	75	0	75	1	1	53	1	-99	167	4
187	35	0_1_3	0_3_1	99	1	99	1	1	27	2	-99	142	5
248	35	0_1_3	0_3_1	100	0	100	1	1	24	1	n/a	67	6
58	29	0_3_1	0_3_1	41	0	41	1	1	36	1	-99	201	1
92	29	0_3_1	0_3_1	100	0	100	1	1	22	1	-99	103	2
121	29	0_3_1	0_3_1	23	0	66	1	1	27	2	-99	147	3
146	29	0_3_1	0_3_1	99	0	99	1	1	27	2	-99	205	4
225	29	0_3_1	0_3_1	99	0	99	1	1	34	2	-99	124	5
242	29	0_3_1	0_3_1	67	0	72	1	1	30	2	-99	100	6
47	23	1_0_3	0_3_1	31	0	31	1	1	33	1	-99	179	1
116	23	1_0_3	0_3_1	67	10	67	1	1	37	2	-99	127	2
141	23	1_0_3	0_3_1	34	0	100	1	1	25	2	-99	102	3
186	23	1_0_3	0_3_1	73	0	73	1	1	43	1	-99	137	4
193	23	1_0_3	0_3_1	78	2	78	1	1	49	2	-99	280	5
237	23	1_0_3	0_3_1	31	0	99	1	1	54	2	no errors spotted	167	6
71	17	1_3_0	0_3_1	81	0	98	1	1	27	1	-99	193	1
136	17	1_3_0	0_3_1	78	0	91	1	1	20	2	-99	153	2
183	17	1_3_0	0_3_1	100	1	99	1	1	24	1	-99	115	3
221	17	1_3_0	0_3_1	100	0	100	1	1	22	2	-99	121	4
262	17	1_3_0	0_3_1	86	0	88	1	1	38	1	None	176	5
270	17	1_3_0	0_3_1	33	0	52	1	1	64	2	NONE	324	6
62	11	3_0_1	0_3_1	99	0	100	1	1	23	1	-99	191	1
96	11	3_0_1	0_3_1	72	0	72	1	1	44	2	Sorry I didn't enter my prolific ID. It's 615beb6b1691b0117a109842, that was my fault, the survey is good.	165	2
131	11	3_0_1	0_3_1	64	8	29	1	1	28	2	-99	76	3
154	11	3_0_1	0_3_1	76	0	76	1	1	53	2	-99	80	4
166	11	3_0_1	0_3_1	99	1	100	1	1	26	2	-99	227	5
234	11	3_0_1	0_3_1	20	100	6	1	1	46	1	None	198	6
48	5	3_1_0	0_3_1	92	92	100	1	1	24	1	-99	975	1
97	5	3_1_0	0_3_1	99	1	98	1	1	23	2	-99	358	2
102	5	3_1_0	0_3_1	80	0	80	1	1	36	1	-99	196	3
167	5	3_1_0	0_3_1	94	2	81	1	1	22	2	I did not experience any problems.	280	4
219	5	3_1_0	0_3_1	47	0	85	1	1	30	2	-99	139	5
226	5	3_1_0	0_3_1	71	0	71	1	1	25	1	-99	171	6
76	34	0_1_3	1_0_3	82	0	81	1	1	39	1	no errors or issues	110	1
80	34	0_1_3	1_0_3	100	2	99	1	1	39	2	-99	237	2
139	34	0_1_3	1_0_3	49	0	74	1	1	46	1	-99	233	3
207	34	0_1_3	1_0_3	91	0	69	1	1	36	1	-99	78	4
246	34	0_1_3	1_0_3	99	1	99	1	1	40	2	N/A	1180	5
