sID	Crystal_Order	Q_Order	1_strength_rating	3_strength_rating	7_strength_rating	Desktop_Confirmation	Attention_Confirmation	Age	Sex	Technical_issues	Duration (sek)
814	bry	1_3_7	82	56	24	1	1	36	2	-99	262
950	bry	1_3_7	99	44	22	1	1	23	2	Maybe the rating of how likely the aliens would have sonin could be in numbers, just help giving an estimate of how likely.	438
1076	bry	1_3_7	100	61	29	1	1	28	2	n/a	146
1150	bry	1_3_7	63	46	40	1	1	42	2	-99	141
907	byr	1_3_7	53	42	26	1	1	21	1	-99	124
987	byr	1_3_7	95	54	28	1	1	22	2	-99	104
1055	byr	1_3_7	65	87	65	1	1	33	2	none	63
1345	byr	1_3_7	80	36	8	1	1	36	1	-99	93
868	rby	1_3_7	43	43	56	1	1	46	1	nothing	249
929	rby	1_3_7	100	30	7	1	1	29	1	no problems that I am aware of.	246
1092	rby	1_3_7	90	90	91	1	1	36	2	-99	155
1162	rby	1_3_7	100	34	12	1	1	34	2	-99	109
878	ryb	1_3_7	50	50	50	1	1	22	1	-99	253
930	ryb	1_3_7	99	47	28	1	1	25	2	-99	205
1060	ryb	1_3_7	100	71	28	1	1	37	1	-99	282
1344	ryb	1_3_7	99	26	10	1	1	75	1	none	162
836	ybr	1_3_7	50	21	45	1	1	19	2	-99	169
974	ybr	1_3_7	100	54	2	1	1	21	2	no	114
1083	ybr	1_3_7	99	33	4	1	1	24	2	-99	136
1179	ybr	1_3_7	52	53	53	1	1	35	2	-99	78
854	yrb	1_3_7	100	50	11	1	1	19	1	-99	329
934	yrb	1_3_7	100	77	50	1	1	54	2	None	200
1123	yrb	1_3_7	100	63	40	1	1	39	2	No errors or problems.	197
1154	yrb	1_3_7	49	49	49	1	1	43	2	-99	160
890	bry	1_7_3	57	55	56	1	1	26	2	-99	79
988	bry	1_7_3	100	99	99	1	1	50	1	-99	144
1110	bry	1_7_3	99	72	51	1	1	25	1	I had an internet connection issue, thus I had to restart the router in order to continue with the study.	979
1193	bry	1_7_3	95	29	71	1	1	54	2	no errors at all	761
905	byr	1_7_3	94	49	22	1	1	38	1	-99	334
1014	byr	1_7_3	100	79	58	1	1	25	2	-99	80
1050	byr	1_7_3	73	47	32	1	1	45	1	-99	161
1173	byr	1_7_3	47	46	46	1	1	48	2	-99	261
844	rby	1_7_3	76	49	33	1	1	23	2	No errors	100
980	rby	1_7_3	100	97	96	1	1	40	1	No errors.	420
1063	rby	1_7_3	69	48	57	1	1	29	1	-99	694
1148	rby	1_7_3	99	30	11	1	1	47	1	-99	177
850	ryb	1_7_3	34	50	100	1	1	20	1	N/A	365
996	ryb	1_7_3	100	35	15	1	1	28	1	The red crystal is more pink than red	215
1073	ryb	1_7_3	100	99	100	1	1	23	2	-99	135
1343	ryb	1_7_3	100	33	15	1	1	44	2	none	264
816	ybr	1_7_3	93	64	65	1	1	22	2	-99	54
995	ybr	1_7_3	50	52	51	1	1	56	2	-99	156
1015	ybr	1_7_3	100	100	100	1	1	24	1	no errors identified	252
1206	ybr	1_7_3	72	58	51	1	1	48	3	none	133
889	yrb	1_7_3	100	82	53	1	1	26	2	-99	222
993	yrb	1_7_3	22	35	46	1	1	27	2	There were no errors	554
1102	yrb	1_7_3	100	40	14	1	1	23	2	-99	102
1144	yrb	1_7_3	100	33	16	1	1	37	2	-	151
857	bry	3_1_7	100	24	6	1	1	18	2	-99	130
994	bry	3_1_7	92	69	30	1	1	22	1	-99	179
1043	bry	3_1_7	95	48	5	1	1	28	2	-99	99
1192	bry	3_1_7	98	35	16	1	1	38	2	-99	169
852	byr	3_1_7	100	57	35	1	1	23	1	None	238
949	byr	3_1_7	99	71	44	1	1	24	2	-99	81
1151	byr	3_1_7	46	46	46	1	1	29	1	-99	123
1211	byr	3_1_7	100	69	52	1	1	46	1	no errors from my side.	787
989	rby	3_1_7	100	47	10	1	1	28	2	-99	168
1067	rby	3_1_7	99	54	28	1	1	22	2	-99	102
1174	rby	3_1_7	93	46	14	1	1	45	2	-99	214
1340	rby	3_1_7	100	61	17	1	1	25	1	-99	223
871	ryb	3_1_7	100	32	9	1	1	25	1	na	151
965	ryb	3_1_7	100	62	11	1	1	30	1	-99	118
1078	ryb	3_1_7	100	30	10	1	1	33	1	-99	89
1185	ryb	3_1_7	99	59	39	1	1	25	2	i did not find any errors in this study	519
963	ybr	3_1_7	99	70	36	1	1	21	1	n/a	164
1088	ybr	3_1_7	100	0	0	1	1	30	1	-99	155
1213	ybr	3_1_7	100	100	100	1	1	37	1	None.	273
1342	ybr	3_1_7	96	69	11	1	1	43	2	-99	80
845	yrb	3_1_7	98	55	25	1	1	31	1	-99	182
953	yrb	3_1_7	100	100	100	1	1	36	1	-99	130
1062	yrb	3_1_7	100	100	100	1	1	32	2	I did not encounter any errors or issues.	378
1153	yrb	3_1_7	100	58	42	1	1	44	2	-99	228
872	bry	3_7_1	100	74	76	1	1	22	2	-99	114
981	bry	3_7_1	99	100	100	1	1	24	1	No errors everything was fine	249
1131	bry	3_7_1	100	53	42	1	1	40	2	-99	117
