sID	Crystal_Order	Q_Order	Desktop_Confirmation	variable	value	valueJitter
814	bry	1_3_7	1	one	0.82	0.795663825366646
950	bry	1_3_7	1	one	0.99	0.962831593640149
1076	bry	1_3_7	1	one	1	1.03544284986332
1150	bry	1_3_7	1	one	0.63	0.656498015299439
907	byr	1_3_7	1	one	0.53	0.492615531943738
987	byr	1_3_7	1	one	0.95	0.974871956985444
1055	byr	1_3_7	1	one	0.65	0.689909487143159
1345	byr	1_3_7	1	one	0.8	0.774642591010779
868	rby	1_3_7	1	one	0.43	0.432415166348219
929	rby	1_3_7	1	one	1	0.966083247568458
1092	rby	1_3_7	1	one	0.9	0.902242873385549
1162	rby	1_3_7	1	one	1	1.03100327944383
878	ryb	1_3_7	1	one	0.5	0.500755923204124
930	ryb	1_3_7	1	one	0.99	0.998309132382274
1060	ryb	1_3_7	1	one	1	0.975040313061327
1344	ryb	1_3_7	1	one	0.99	0.951552013736218
836	ybr	1_3_7	1	one	0.5	0.525964879710227
974	ybr	1_3_7	1	one	1	0.99051084049046
1083	ybr	1_3_7	1	one	0.99	0.971450535561889
1179	ybr	1_3_7	1	one	0.52	0.510731807276607
854	yrb	1_3_7	1	one	1	1.03381687384099
934	yrb	1_3_7	1	one	1	0.974042650982738
1123	yrb	1_3_7	1	one	1	1.01822177754715
1154	yrb	1_3_7	1	one	0.49	0.517908002883196
890	bry	1_7_3	1	one	0.57	0.578864118084312
988	bry	1_7_3	1	one	1	1.03359440496191
1110	bry	1_7_3	1	one	0.99	1.0118397801742
1193	bry	1_7_3	1	one	0.95	0.960209182277322
905	byr	1_7_3	1	one	0.94	0.944745238851756
1014	byr	1_7_3	1	one	1	1.00848736990243
1050	byr	1_7_3	1	one	0.73	0.715787142906338
1173	byr	1_7_3	1	one	0.47	0.483273678589612
844	rby	1_7_3	1	one	0.76	0.75982870541513
980	rby	1_7_3	1	one	1	1.03559196239337
1063	rby	1_7_3	1	one	0.69	0.691213620323688
1148	rby	1_7_3	1	one	0.99	0.953006290663034
850	ryb	1_7_3	1	one	0.34	0.343231611233205
996	ryb	1_7_3	1	one	1	0.985284069441259
1073	ryb	1_7_3	1	one	1	0.986527471654117
1343	ryb	1_7_3	1	one	1	1.01909399315715
816	ybr	1_7_3	1	one	0.93	0.927529098074883
995	ybr	1_7_3	1	one	0.5	0.471995965652168
1015	ybr	1_7_3	1	one	1	1.02370707768947
1206	ybr	1_7_3	1	one	0.72	0.756372201386839
889	yrb	1_7_3	1	one	1	1.00295253602788
993	yrb	1_7_3	1	one	0.22	0.253962399382144
1102	yrb	1_7_3	1	one	1	0.994444602746516
1144	yrb	1_7_3	1	one	1	0.990925869848579
857	bry	3_1_7	1	one	1	0.969914074335247
994	bry	3_1_7	1	one	0.92	0.958623857311904
1043	bry	3_1_7	1	one	0.95	0.91934618042782
1192	bry	3_1_7	1	one	0.98	0.971009246539325
852	byr	3_1_7	1	one	1	1.00597133127972
949	byr	3_1_7	1	one	0.99	1.01920217633247
1151	byr	3_1_7	1	one	0.46	0.474833313301206
1211	byr	3_1_7	1	one	1	1.0395186894387
989	rby	3_1_7	1	one	1	1.01132807442918
1067	rby	3_1_7	1	one	0.99	1.01422246510163
1174	rby	3_1_7	1	one	0.93	0.962112992629409
1340	rby	3_1_7	1	one	1	1.0239959108457
871	ryb	3_1_7	1	one	1	0.975237601026893
965	ryb	3_1_7	1	one	1	1.02379665441811
1078	ryb	3_1_7	1	one	1	0.96105300957337
1185	ryb	3_1_7	1	one	0.99	1.00807150086388
963	ybr	3_1_7	1	one	0.99	0.983853386361152
1088	ybr	3_1_7	1	one	1	1.02264306291938
1213	ybr	3_1_7	1	one	1	1.01461610049009
1342	ybr	3_1_7	1	one	0.96	0.994443559441715
845	yrb	3_1_7	1	one	0.98	0.949508728869259
953	yrb	3_1_7	1	one	1	1.02886660376564
1062	yrb	3_1_7	1	one	1	0.980825758315623
1153	yrb	3_1_7	1	one	1	0.969980286173522
872	bry	3_7_1	1	one	1	0.986032714135945
981	bry	3_7_1	1	one	0.99	0.972202339041978
1131	bry	3_7_1	1	one	1	0.974675765745342
1348	bry	3_7_1	1	one	1	1.02279823709279
894	byr	3_7_1	1	one	1	1.01243283566087
938	byr	3_7_1	1	one	1	0.977262119911611
1121	byr	3_7_1	1	one	0.41	0.389223264567554
1129	byr	3_7_1	1	one	0.99	0.957433184869587
843	rby	3_7_1	1	one	0.99	1.02655363257974
1023	rby	3_7_1	1	one	1	0.985912060663104
1118	rby	3_7_1	1	one	1	1.02967207187787
1339	rby	3_7_1	1	one	0.46	0.428529383931309
808	ryb	3_7_1	1	one	0.99	0.963465885091573
951	ryb	3_7_1	1	one	0.5	0.516780096050352
1042	ryb	3_7_1	1	one	0.85	0.88004935098812
1341	ryb	3_7_1	1	one	0.99	0.968870800361037
821	ybr	3_7_1	1	one	1	0.990573126971722
946	ybr	3_7_1	1	one	0.03	0.00757549691945314
1044	ybr	3_7_1	1	one	1	1.03885928066447
1155	ybr	3_7_1	1	one	1	1.02479558741674
892	yrb	3_7_1	1	one	0.99	1.00097886409611
1005	yrb	3_7_1	1	one	1	0.977156659830362
1119	yrb	3_7_1	1	one	1	1.03444384284318
1190	yrb	3_7_1	1	one	0.99	1.02639121063054
881	bry	7_1_3	1	one	1	1.01074481306598
952	bry	7_1_3	1	one	0.67	0.676003451570868
1057	bry	7_1_3	1	one	1	0.96489050783217
1141	bry	7_1_3	1	one	0.99	0.952705682236701
900	byr	7_1_3	1	one	0.62	0.600100991372019
991	byr	7_1_3	1	one	1	1.03370853291824
1046	byr	7_1_3	1	one	1	1.01579348543659
1346	byr	7_1_3	1	one	0.83	0.857476654313505
899	rby	7_1_3	1	one	0.93	0.940819381959736
1008	rby	7_1_3	1	one	0.99	0.975739311240613
1133	rby	7_1_3	1	one	0.46	0.429373993054032
1169	rby	7_1_3	1	one	1	0.978664471395314
867	ryb	7_1_3	1	one	1	1.01695107450709
918	ryb	7_1_3	1	one	1	0.968769748844206
1054	ryb	7_1_3	1	one	1	1.02910740476102
1184	ryb	7_1_3	1	one	1	1.00139826051891
876	ybr	7_1_3	1	one	1	0.991766541600227
941	ybr	7_1_3	1	one	0.99	0.967792725469917
1116	ybr	7_1_3	1	one	0.95	0.974168286453933
1194	ybr	7_1_3	1	one	0.84	0.826728407237679
815	yrb	7_1_3	1	one	1	0.972759963870048
939	yrb	7_1_3	1	one	1	0.963538590222597
1086	yrb	7_1_3	1	one	0.99	0.950186221469194
1207	yrb	7_1_3	1	one	1	1.03534398788586
912	bry	7_3_1	1	one	1	1.00194314053282
936	bry	7_3_1	1	one	1	1.02139245273545
1061	bry	7_3_1	1	one	0.99	0.969840720016509
1124	bry	7_3_1	1	one	0.91	0.901404349971563
861	byr	7_3_1	1	one	1	0.992228177711368
955	byr	7_3_1	1	one	0.28	0.258241803720593
1093	byr	7_3_1	1	one	1	0.978651934303343
1202	byr	7_3_1	1	one	0.71	0.690357860922813
833	rby	7_3_1	1	one	0.91	0.893812858872116
944	rby	7_3_1	1	one	0.99	0.984975750911981
1112	rby	7_3_1	1	one	0.92	0.897025978006423
1164	rby	7_3_1	1	one	0.58	0.558999087493867
818	ryb	7_3_1	1	one	0.65	0.67366120999679
947	ryb	7_3_1	1	one	1	1.02444708814844
1037	ryb	7_3_1	1	one	1	1.00276395590976
1337	ryb	7_3_1	1	one	1	0.993372656702995
858	ybr	7_3_1	1	one	0.99	0.992397589720786
1007	ybr	7_3_1	1	one	1	0.965205019749701
1020	ybr	7_3_1	1	one	1	1.00896625464782
1189	ybr	7_3_1	1	one	1	1.0003452446498
883	yrb	7_3_1	1	one	0.45	0.486896652821451
1002	yrb	7_3_1	1	one	0.99	0.979738802202046
1056	yrb	7_3_1	1	one	0.92	0.904692782219499
1203	yrb	7_3_1	1	one	1	0.99207153359428
814	bry	1_3_7	1	seven	0.24	0.229352605305612
950	bry	1_3_7	1	seven	0.22	0.195880326945335
1076	bry	1_3_7	1	seven	0.29	0.306455339118838
1150	bry	1_3_7	1	seven	0.4	0.4368824214302
907	byr	1_3_7	1	seven	0.26	0.229733882863075
987	byr	1_3_7	1	seven	0.28	0.263508048728108
1055	byr	1_3_7	1	seven	0.65	0.62067646432668
1345	byr	1_3_7	1	seven	0.08	0.0575157753564417
868	rby	1_3_7	1	seven	0.56	0.58266241196543
929	rby	1_3_7	1	seven	0.07	0.0935260421410203
1092	rby	1_3_7	1	seven	0.91	0.92434244889766
1162	rby	1_3_7	1	seven	0.12	0.13727604681626
878	ryb	1_3_7	1	seven	0.5	0.535570248123258
930	ryb	1_3_7	1	seven	0.28	0.286120627317578
1060	ryb	1_3_7	1	seven	0.28	0.294769368451089
1344	ryb	1_3_7	1	seven	0.1	0.124800077825785
836	ybr	1_3_7	1	seven	0.45	0.483807211313397
974	ybr	1_3_7	1	seven	0.02	0.022510164771229
1083	ybr	1_3_7	1	seven	0.04	0.046758005656302
1179	ybr	1_3_7	1	seven	0.53	0.502456327807158
854	yrb	1_3_7	1	seven	0.11	0.0985537398606539
934	yrb	1_3_7	1	seven	0.5	0.494214259143919
1123	yrb	1_3_7	1	seven	0.4	0.381461911182851
1154	yrb	1_3_7	1	seven	0.49	0.498022896908224
890	bry	1_7_3	1	seven	0.56	0.524298826791346
988	bry	1_7_3	1	seven	0.99	0.995503576882183
1110	bry	1_7_3	1	seven	0.51	0.547848594002426
1193	bry	1_7_3	1	seven	0.71	0.741372488103807
905	byr	1_7_3	1	seven	0.22	0.183896882515401
1014	byr	1_7_3	1	seven	0.58	0.616326586138457
1050	byr	1_7_3	1	seven	0.32	0.31093720600009
1173	byr	1_7_3	1	seven	0.46	0.464360932819545
844	rby	1_7_3	1	seven	0.33	0.363167027756572
980	rby	1_7_3	1	seven	0.96	0.942482293695211
1063	rby	1_7_3	1	seven	0.57	0.563628651630133
1148	rby	1_7_3	1	seven	0.11	0.143851432669908
850	ryb	1_7_3	1	seven	1	0.984341528695077
996	ryb	1_7_3	1	seven	0.15	0.138164836671203
1073	ryb	1_7_3	1	seven	1	0.978168475776911
1343	ryb	1_7_3	1	seven	0.15	0.143132927846163
