sID	Effects	Target	strength_multiple	strength_single	Desktop_Confirmation	Attention_Confirmation	Age	Sex	Technical_issues	Duration (sek)
1	blue	first	66	76	1	1	27	2	-99	125
2	blue	first	33	100	1	1	61	2	-99	213
3	blue	first	100	100	1	1	36	2	-99	149
4	blue	first	83	84	1	1	44	2	-99	138
5	blue	first	99	100	1	1	42	2	-99	91
6	blue	first	89	86	1	1	56	1	no technical issues	349
7	blue	first	100	100	1	1	53	2	-99	124
8	blue	first	50	50	1	1	33	2	None	158
9	blue	first	50	50	1	1	30	2	-99	82
10	blue	first	33	100	1	1	28	1	no technical issues	181
11	blue	first	50	50	1	1	49	2	-99	267
12	blue	first	60	81	1	1	18	2	-99	147
13	blue	first	33	100	1	1	23	1	-99	140
14	blue	first	100	100	1	1	27	1	-99	228
15	blue	first	100	100	1	1	29	1	-99	551
16	blue	first	90	100	1	1	41	1	-99	299
17	blue	first	100	100	1	1	41	1	-99	143
18	blue	first	50	99	1	1	55	2	-99	255
19	blue	first	81	61	1	1	55	1	-99	194
20	blue	first	100	100	1	1	21	1	-99	145
21	blue	first	100	100	1	1	36	2	-99	141
22	blue	first	67	59	1	1	34	2	-99	106
23	blue	first	100	100	1	1	24	1	-99	106
24	blue	first	35	88	1	1	25	1	-99	261
25	blue	first	100	100	1	1	46	2	-99	167
26	blue	first	50	75	1	1	50	2	wifi wobbled for a moment after I had used the slide rule	241
27	blue	first	100	33	1	1	46	2	-99	346
28	blue	first	91	91	1	1	27	1	-99	1172
29	blue	first	64	65	1	1	27	2	-99	90
30	blue	first	70	100	1	1	20	2	-99	155
31	blue	first	100	100	1	1	68	2	-99	197
32	blue	first	30	30	1	1	63	2	-99	138
33	blue	first	100	99	1	1	62	1	-99	234
34	blue	first	90	90	1	1	25	1	-99	144
35	blue	first	74	75	1	1	31	1	-99	86
36	blue	first	80	80	1	1	26	2	-99	152
37	blue	first	99	99	1	1	62	2	-99	143
38	blue	first	99	54	1	1	18	2	-99	157
39	blue	first	80	80	1	1	24	1	-99	99
40	blue	first	40	80	1	1	25	2	-99	161
41	blue	first	91	84	1	1	30	1	-99	179
42	blue	first	100	100	1	1	45	1	-99	105
43	blue	first	33	100	1	1	18	1	-99	135
44	blue	first	50	50	1	1	56	1	I found the study stupid. It was not possible to have an intuition in respect to the question you asked.	130
45	blue	first	80	81	1	1	30	2	No issue	172
46	blue	first	91	49	1	1	43	2	-99	203
47	blue	first	35	65	1	1	43	1	-99	149
48	blue	first	25	50	1	1	19	4	-99	145
49	blue	first	100	100	1	1	64	1	-99	193
50	blue	first	50	50	1	1	26	1	n/a	103
51	yellow	first	23	17	1	1	22	1	-99	122
52	yellow	first	90	95	1	1	50	1	-99	128
53	yellow	first	61	60	1	1	23	1	-99	84
54	yellow	first	89	82	1	1	65	2	There were no problems.	188
55	yellow	first	61	71	1	1	24	2	-99	154
56	yellow	first	33	100	1	1	40	1	-99	105
57	yellow	first	33	100	1	1	26	1	-99	146
58	yellow	first	80	80	1	1	32	2	-99	218
59	yellow	first	33	100	1	1	59	1	-99	233
60	yellow	first	26	48	1	1	28	2	-99	114
61	yellow	first	99	99	1	1	44	2	-99	128
62	yellow	first	100	53	1	1	25	2	-99	122
63	yellow	first	33	100	1	1	22	1	-99	90
64	yellow	first	40	72	1	1	51	2	-99	178
65	yellow	first	100	100	1	1	42	1	None	397
66	yellow	first	100	100	1	1	31	2	-99	139
67	yellow	first	34	96	1	1	45	2	None	284
68	yellow	first	44	66	1	1	34	2	-99	67
69	yellow	first	50	50	1	1	23	1	-99	142
70	yellow	first	60	60	1	1	67	1	font size on min/max spectrum rather small	369
71	yellow	first	79	93	1	1	28	2	-99	126
72	yellow	first	50	50	1	1	27	2	-99	119
73	yellow	first	51	51	1	1	48	2	-99	188
74	yellow	first	99	100	1	1	28	2	-99	129
75	yellow	first	51	68	1	1	42	2	-99	93
76	yellow	first	50	50	1	1	38	2	-99	174
77	yellow	first	73	47	1	1	21	1	-99	69
78	yellow	first	86	36	1	1	55	2	none	134
79	yellow	first	32	100	1	1	19	1	-99	202
80	yellow	first	51	51	1	1	28	2	-99	162
81	yellow	first	50	50	1	1	38	2	No	163
82	yellow	first	50	50	1	1	35	2	none - I  did switch from mobile to laptop	112
83	yellow	first	73	93	1	1	42	2	-99	144
84	yellow	first	33	77	1	1	20	2	-99	199
85	yellow	first	69	98	1	1	18	2	-99	167
86	yellow	first	33	100	1	1	25	2	-99	166
87	yellow	first	90	23	1	1	31	1	-99	302
88	yellow	first	100	100	1	1	35	2	-99	182
89	yellow	first	100	100	1	1	32	1	-99	238
90	yellow	first	100	33	1	1	36	1	-99	130
91	yellow	first	100	100	1	1	25	2	-99	162
92	yellow	first	100	100	1	1	35	1	-99	174
93	yellow	first	99	99	1	1	66	1	-99	106
94	yellow	first	100	100	1	1	67	2	-99	246
95	yellow	first	50	50	1	1	34	2	-99	120
96	yellow	first	20	20	1	1	32	2	N/A	145
97	yellow	first	19	28	1	1	20	1	-99	182
98	yellow	first	18	50	1	1	59	1	-99	323
99	yellow	first	87	93	1	1	42	2	-99	203
100	yellow	first	55	50	1	1	39	1	-99	118
101	blue	second	70	64	1	1	24	2	-99	58
102	blue	second	33	100	1	1	24	1	nope	612
103	blue	second	72	32	1	1	22	2	-99	74
104	blue	second	25	50	1	1	48	2	-99	223
105	blue	second	83	91	1	1	29	2	no techinal issues	270
106	blue	second	73	59	1	1	32	1	-99	204
107	blue	second	0	0	1	1	24	2	-99	132
108	blue	second	100	99	1	1	55	2	-99	502
109	blue	second	70	90	1	1	20	3	-99	127
110	blue	second	100	100	1	1	21	2	-99	103
111	blue	second	50	50	1	1	27	2	-99	361
112	blue	second	50	50	1	1	19	1	-99	100
113	blue	second	50	50	1	1	46	1	-99	283
114	blue	second	75	75	1	1	25	1	-99	825
115	blue	second	80	80	1	1	40	1	-99	120
116	blue	second	38	90	1	1	30	2	-99	213
117	blue	second	52	57	1	1	20	2	-99	93
118	blue	second	99	100	1	1	48	1	non	394
119	blue	second	60	59	1	1	40	1	-99	90
120	blue	second	75	75	1	1	29	3	-99	183
121	blue	second	69	68	1	1	27	1	-99	77
122	blue	second	33	100	1	1	43	1	-99	195
123	blue	second	100	100	1	1	20	2	-99	85
124	blue	second	75	95	1	1	21	2	-99	125
125	blue	second	100	100	1	1	30	1	-99	100
126	blue	second	19	19	1	1	40	2	-99	149
127	blue	second	100	100	1	1	28	1	-99	177
128	blue	second	99	99	1	1	30	2	-99	107
129	blue	second	33	100	1	1	22	2	-99	178
130	blue	second	40	55	1	1	30	1	-99	131
131	blue	second	99	99	1	1	63	1	All good	239
132	blue	second	50	65	1	1	45	1	-99	164
133	blue	second	75	75	1	1	32	2	-99	104
134	blue	second	96	74	1	1	27	1	-99	161
135	blue	second	99	51	1	1	27	1	no	151
136	blue	second	100	100	1	1	38	1	-99	187
137	blue	second	99	99	1	1	54	2	-99	215
138	blue	second	50	50	1	1	24	2	-99	255
139	blue	second	99	81	1	1	29	2	-99	136
140	blue	second	39	59	1	1	27	2	-99	111
141	blue	second	99	100	1	1	43	1	-99	192
142	blue	second	55	55	1	1	22	2	-99	121
143	blue	second	100	100	1	1	52	2	-99	136
144	blue	second	93	33	1	1	18	1	-99	126
145	blue	second	33	99	1	1	57	2	-99	192
146	blue	second	100	99	1	1	62	1	-99	144
147	blue	second	100	100	1	1	19	1	-99	136
148	blue	second	89	88	1	1	26	2	-99	167
149	blue	second	50	93	1	1	30	2	-99	226
150	blue	second	50	50	1	1	33	1	-99	178
151	yellow	second	100	100	1	1	74	2	none	165
152	yellow	second	48	83	1	1	49	2	-99	146
153	yellow	second	100	100	1	1	43	2	-99	134
154	yellow	second	68	25	1	1	21	1	-99	95
155	yellow	second	100	100	1	1	38	2	-99	197
156	yellow	second	29	67	1	1	18	2	-99	103
157	yellow	second	46	58	1	1	37	1	-99	103
158	yellow	second	33	99	1	1	22	2	-99	170
159	yellow	second	50	100	1	1	23	1	-99	317
160	yellow	second	81	81	1	1	64	2	-99	137
161	yellow	second	100	100	1	1	47	2	-99	111
162	yellow	second	100	100	1	1	52	2	-99	324
163	yellow	second	77	52	1	1	25	1	-99	183
164	yellow	second	31	79	1	1	27	1	-99	91
165	yellow	second	99	100	1	1	67	1	-99	180
166	yellow	second	52	50	1	1	37	2	-99	196
167	yellow	second	100	100	1	1	54	2	-99	192
168	yellow	second	94	78	1	1	27	2	-99	213
169	yellow	second	40	91	1	1	39	2	-99	120
170	yellow	second	100	100	1	1	32	1	-99	129
171	yellow	second	100	33	1	1	39	2	None	178
172	yellow	second	100	100	1	1	22	1	-99	148
173	yellow	second	51	77	1	1	53	2	Good luck with your research!	360
174	yellow	second	99	99	1	1	39	1	-99	133
175	yellow	second	75	60	1	1	42	2	-99	116
176	yellow	second	50	50	1	1	48	2	-99	147
177	yellow	second	100	99	1	1	22	2	-99	85
178	yellow	second	61	87	1	1	24	2	-99	135
179	yellow	second	91	23	1	1	19	1	no	80
180	yellow	second	80	99	1	1	51	2	no	147
181	yellow	second	54	54	1	1	26	4	-99	110
182	yellow	second	31	100	1	1	41	1	-99	182
183	yellow	second	50	95	1	1	20	2	-99	82
184	yellow	second	100	100	1	1	20	1	-99	326
185	yellow	second	33	100	1	1	20	1	-99	186
186	yellow	second	68	99	1	1	74	1	none	196
187	yellow	second	75	75	1	1	29	1	n/a	184
188	yellow	second	33	100	1	1	57	2	-99	335
189	yellow	second	99	99	1	1	41	2	NONE	272
190	yellow	second	63	84	1	1	42	2	-99	80
191	yellow	second	50	50	1	1	66	1	There was a network issue with broadband provider so I was cut off and had to start again	154
192	yellow	second	100	100	1	1	30	1	-99	130
193	yellow	second	62	63	1	1	51	1	no	165
194	yellow	second	27	37	1	1	18	2	-99	105
195	yellow	second	100	100	1	1	24	1	-99	122
196	yellow	second	60	60	1	1	28	1	-99	85
197	yellow	second	100	100	1	1	19	1	-99	91
198	yellow	second	50	50	1	1	55	2	-99	288
199	yellow	second	87	94	1	1	18	2	-99	114
200	yellow	second	36	50	1	1	49	2	Nothing all ok	216
201	blue	third	41	84	1	1	25	1	-99	119
202	blue	third	100	20	1	1	19	2	No technical issues :)	378
203	blue	third	50	50	1	1	25	2	-99	260
204	blue	third	50	50	1	1	21	2	-99	241
205	blue	third	99	99	1	1	25	2	-99	156
206	blue	third	100	100	1	1	38	2	-99	143
207	blue	third	33	100	1	1	36	1	-99	97
208	blue	third	89	85	1	1	52	2	-99	82
209	blue	third	50	50	1	1	36	2	-99	74
210	blue	third	33	50	1	1	24	2	-99	139
211	blue	third	33	33	1	1	21	2	-99	157
212	blue	third	100	90	1	1	29	2	-99	122
213	blue	third	64	64	1	1	27	1	-99	404
214	blue	third	50	50	1	1	30	2	n/a	138
215	blue	third	90	100	1	1	19	2	-99	115
216	blue	third	100	100	1	1	58	1	none	173
217	blue	third	100	100	1	1	38	2	-99	249
218	blue	third	99	100	1	1	54	2	no	420
219	blue	third	65	85	1	1	42	1	-99	91
220	blue	third	100	100	1	1	61	1	none	199
221	blue	third	93	93	1	1	59	2	-99	236
222	blue	third	25	75	1	1	32	2	-99	156
223	blue	third	96	95	1	1	20	2	-99	92
224	blue	third	33	100	1	1	25	2	-99	133
225	blue	third	38	99	1	1	31	2	-99	180
226	blue	third	1	1	1	1	54	1	-99	131
227	blue	third	50	75	1	1	40	1	-99	111
228	blue	third	33	95	1	1	47	2	-99	215
229	blue	third	71	84	1	1	25	1	-99	133
230	blue	third	45	55	1	1	26	2	-99	149
231	blue	third	100	72	1	1	19	1	-99	65
232	blue	third	33	100	1	1	27	2	-99	174
233	blue	third	75	89	1	1	20	1	-99	126
234	blue	third	100	100	1	1	43	2	You ask me to  please indicate which gender you feel you belong to  and then provide 'male' and 'female' as answer options. As an academic institution I would expect you to know that male and female are terms denoting biological sex, not socially-constructed gender feelings. I chose female as that is my biological sex. I do not believe in gender identities. Facts are more important than feelings in serious academic research.	458
235	blue	third	78	85	1	1	63	2	-99	194
236	blue	third	50	50	1	1	25	2	-99	276
237	blue	third	100	85	1	1	25	1	There were no technical issues with the study.	259
238	blue	third	64	73	1	1	53	1	n/a	127
239	blue	third	92	92	1	1	42	1	-99	156
240	blue	third	60	70	1	1	20	2	-99	108
241	blue	third	40	55	1	1	32	2	-99	111
242	blue	third	28	77	1	1	30	2	-99	90
243	blue	third	35	62	1	1	21	1	-99	199
244	blue	third	75	75	1	1	63	1	-99	124
245	blue	third	100	100	1	1	21	1	-99	87
246	blue	third	100	100	1	1	54	2	-99	189
247	blue	third	27	27	1	1	56	2	-99	136
248	blue	third	100	100	1	1	24	1	-99	146
249	blue	third	50	50	1	1	58	3	not a technical issue but would like to say that I have said 'other' for gender as I describe myself as of the female sex and do not think of myself as having a rigid socially prescribed gender as that is just a set of defined behaviours which people move between depending on mood and personality.	194
250	blue	third	90	90	1	1	43	3	-99	248
251	yellow	third	16	82	1	1	23	1	-99	96
252	yellow	third	100	100	1	1	21	1	-99	86
253	yellow	third	77	83	1	1	25	2	-99	137
254	yellow	third	33	100	1	1	19	1	-99	129
255	yellow	third	33	99	1	1	58	2	-99	127
256	yellow	third	20	50	1	1	27	2	-99	309
257	yellow	third	33	100	1	1	46	2	-99	229
258	yellow	third	100	50	1	1	76	2	-99	188
259	yellow	third	35	100	1	1	20	2	-99	219
260	yellow	third	100	100	1	1	50	1	-99	184
261	yellow	third	18	86	1	1	43	2	-99	136
262	yellow	third	28	98	1	1	23	2	-99	135
263	yellow	third	60	100	1	1	26	2	I did not suffer any technical issues during this study.	125
264	yellow	third	65	65	1	1	30	1	-99	209
265	yellow	third	71	100	1	1	23	2	-99	191
266	yellow	third	100	100	1	1	20	1	-99	138
267	yellow	third	35	80	1	1	38	2	No issues	104
268	yellow	third	70	25	1	1	32	1	None.	208
269	yellow	third	53	78	1	1	25	1	-99	106
270	yellow	third	81	81	1	1	31	2	-99	124
271	yellow	third	80	80	1	1	25	2	-99	114
272	yellow	third	1	1	1	1	27	2	-99	124
273	yellow	third	99	0	1	1	57	2	-99	285
274	yellow	third	30	90	1	1	25	1	-99	160
275	yellow	third	33	100	1	1	20	2	-99	1127
276	yellow	third	91	98	1	1	61	2	-99	222
277	yellow	third	96	96	1	1	28	2	-99	115
278	yellow	third	35	86	1	1	26	2	-99	163
279	yellow	third	80	80	1	1	20	1	-99	121
280	yellow	third	100	100	1	1	49	1	-99	524
281	yellow	third	71	71	1	1	47	1	-99	87
282	yellow	third	94	86	1	1	18	1	-99	101
283	yellow	third	3	100	1	1	29	2	none	114
284	yellow	third	13	22	1	1	37	1	-99	93
285	yellow	third	100	100	1	1	35	1	-99	242
286	yellow	third	33	100	1	1	22	1	-99	157
287	yellow	third	80	80	1	1	18	1	-99	302
288	yellow	third	49	59	1	1	64	1	-99	145
289	yellow	third	83	83	1	1	27	2	-99	91
290	yellow	third	100	99	1	1	55	2	-99	204
291	yellow	third	20	50	1	1	21	1	-99	253
292	yellow	third	100	100	1	1	27	2	-99	203
293	yellow	third	63	76	1	1	52	2	-99	111
294	yellow	third	50	85	1	1	19	1	-99	310
295	yellow	third	15	15	1	1	19	2	-99	79
296	yellow	third	99	99	1	1	69	1	-99	205
297	yellow	third	31	69	1	1	22	2	-99	92
298	yellow	third	24	100	1	1	27	1	yeah my electricity went off but nothing to do with the survey	-1
299	yellow	third	100	100	1	1	20	2	nothing happened	322
300	yellow	third	16	16	1	1	21	1	-99	121
