sID	fifth	first	fourth	second	sixth	third	Desktop_Confirmation	Attention_Confirmation	Age	Sex	Technical_issues	Duration (sek)
2215	11	93	12	86	6	21	1	1	42	2	-99	65
2216	45	38	46	43	21	42	1	1	40	2	-99	129
2217	51	86	65	47	63	38	1	1	25	1	-99	230
2218	48	48	48	48	48	48	1	1	34	2	n/a	193
2219	22	100	39	68	16	51	1	1	29	2	-99	100
2221	13	87	19	53	8	30	1	1	59	1	-99	118
2222	100	100	100	100	100	100	1	1	30	1	-99	145
2223	20	98	37	85	8	58	1	1	30	1	None	395
2224	14	41	15	15	15	13	1	1	24	2	-99	195
2225	48	48	48	48	48	48	1	1	25	1	n/a	132
2226	91	90	95	92	92	93	1	1	49	2	-99	222
2227	50	49	50	49	49	50	1	1	49	1	-99	73
2228	72	74	76	50	80	87	1	1	26	1	none	83
2231	50	52	50	52	50	49	1	1	51	2	-99	112
2232	46	46	46	46	46	46	1	1	58	1	The situation described in this survey did not state/specify the level of connection between any of the variables -- it merely stated which variables were related. Thus I did not feel comfortable that I could identify that strength of connection between any two variables, since I would literally be making a guess. Perhaps I misunderstood the scenario, but to me providing such answers would not involve using intuition, but rather would involve making a blind guess with no data to back it that guess. Thus I chose the midpoint for every question. (If there had been an option for  don't know,  I would have chosen that option for all of the questions.)  Intuition  does not mean choosing any answer where your chance of being correct is equivalent to making a random guess.	773
2233	55	41	37	75	30	79	1	1	30	2	-99	94
2234	99	100	99	99	99	100	1	1	35	2	-99	115
2235	57	94	63	89	63	74	1	1	28	1	-99	152
2236	99	100	100	100	100	100	1	1	25	2	-99	39
2237	47	8	39	19	27	68	1	1	76	1	NONE	216
2239	53	13	48	28	69	38	1	1	40	1	Nothing Really	169
2240	56	79	76	70	63	70	1	1	29	1	-99	168
2241	91	90	91	83	93	91	1	1	29	2	-99	51
2242	83	85	75	74	85	86	1	1	29	1	-99	185
2243	100	99	100	100	100	99	1	1	45	1	none	76
2244	69	99	72	83	72	73	1	1	22	2	-99	56
2245	54	100	66	86	47	77	1	1	21	2	n/a works perfectly on laptop.	217
2249	80	79	81	83	81	79	1	1	21	1	No error	203
2250	100	100	100	100	100	100	1	1	28	1	-99	70
2251	38	79	51	70	46	55	1	1	28	2	-99	136
2252	39	40	38	39	39	38	1	1	42	1	-99	77
2253	32	57	19	35	37	25	1	1	40	1	-99	187
2255	24	46	22	39	18	30	1	1	21	1	-99	158
2256	84	100	83	87	81	86	1	1	21	1	-99	113
2257	73	73	74	73	74	75	1	1	24	2	-99	199
2258	100	100	100	100	100	100	1	1	24	1	-99	113
2259	33	34	33	41	35	35	1	1	22	2	-99	143
2260	54	2	47	7	85	13	1	1	73	2	-99	193
2261	81	100	87	93	76	90	1	1	21	1	-99	139
2262	20	22	20	22	21	18	1	1	31	2	none	558
2263	85	11	71	21	100	40	1	1	29	1	-99	186
2264	82	79	83	81	81	82	1	1	36	2	-99	205
2265	100	100	100	100	100	100	1	1	37	1	I chose the same for each one on the basis (perhaps mistaken) that a causal link is necessarily 'strong'.	159
2266	100	100	100	100	100	100	1	1	38	2	-99	146
2267	99	99	99	99	99	100	1	1	37	2	-99	199
2268	32	95	56	82	13	70	1	1	42	2	-99	75
2269	51	92	71	81	68	64	1	1	30	1	-99	306
2270	99	99	100	100	99	100	1	1	29	1	-99	97
2271	42	41	40	41	41	41	1	1	23	1	-99	72
2272	31	30	32	32	30	31	1	1	47	1	-99	123
2273	100	100	100	100	100	100	1	1	30	2	None	147
2274	58	92	67	79	70	74	1	1	22	1	-99	128
2276	80	100	80	95	71	87	1	1	31	1	No errors	300
2277	100	100	99	100	100	100	1	1	25	1	no errors the survey was okay.	182
2278	54	54	52	53	54	54	1	1	44	2	-99	169
2279	58	59	58	58	57	56	1	1	21	2	-99	356
2280	68	68	68	68	67	67	1	1	19	2	-99	113
2281	65	34	62	39	66	53	1	1	47	2	-99	132
